    Condylobasal length ,Rostrum width at midlength,Rostrum length,Zygomatic  width,Mandible length,Rostrum width at base,Island,IslandLetter
284,57,143,148,232,83,1,N
287,59,147,154,,84,1,N
296,57,146,153,238,82,1,N
300,61,146,153,246,85,1,N
302,62,153,162,248,86,1,N
302,57,155,153,241,81,1,N
304,58,153,154,246,84,1,N
310,62,154,163,245,90,1,N
310,63,157,159,245,86,1,N
313,63,159,160,255,86,1,N
315,59,153,158,252,89,1,N
317,63,165,167,257,94,1,N
319,64,158,,,94,1,N
264,47,128,134,205,71,2,S
265,49,136,137,210,74,2,S
276,49,135,142,220,77,2,S
277,50,135,144,219,78,2,S
280,51,139,145,219,75,2,S
282,52,138,139,225,77,2,S
284,50,141,143,221,80,2,S
284,50,140,137,225,81,2,S
284,48,138,139,222,78,2,S
284,49,134,136,222,76,2,S
289,55,145,146,230,80,2,S
289,51,142,150,236,82,2,S
301,55,146,154,,86,2,S
251,45,122,130,204,74,2,S
265,44,126,133,211,69,2,S
270,46,130,129,211,74,2,S
273,50,130,138,211,75,2,S
273,54,134,141,219,74,2,S
275,49,133,138,219,76,2,S
276,50,130,147,222,80,2,S
277,52,131,143,220,83,2,S
278,54,133,146,221,79,2,S
279,53,138,142,224,78,2,S
281,50,143,140,221,86,2,S
283,50,142,136,225,72,2,S
285,52,138,147,228,83,2,S
285,52,139,145,223,77,2,S
285,56,140,145,225,81,2,S
285,52,143,144,228,81,2,S
287,46,143,139,230,76,2,S
289,52,143,149,231,79,2,S
291,51,144,145,233,82,2,S
291,49,145,142,230,73,2,S
292,54,145,153,235,82,2,S
293,52,147,154,238,81,2,S
302,55,147,150,243,80,2,S
304,55,147,152,239,86,2,S
271,51,133,138,219,77,2,S
274,51,131,144,211,73,2,S
279,46,137,137,220,73,2,S
280,49,136,132,219,75,2,S
280,49,136,139,215,77,2,S
282,51,139,140,226,76,2,S
285,46,140,141,223,75,2,S
287,52,135,147,223,82,2,S
287,51,133,143,226,79,2,S
