#  The Gapminder data for 2008 only with fewer vatriables,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Region,Year,AgriculturalLand,BodyMassIndex_M,BodyMassIndex_F,Cellphones,ChildrenPerWoman,CO2Emissions,EnergyUsePerPerson,Exports,GDPpercapita,Governmenthealthspendingperpersontotal,Imports,IncomePerPerson,Infantmortality,Inflation,Internetusers,LifeExpectancy,Populationtotal,Populationgrowth,Populationdensity,Residentialelectricityuseperperson,Teenfertilityrate,TotalhealthspendingperpersonUS,UrbanpopulationTotal,Urbanpopulationgrowth
Afghanistan,South Asia,2008,58.12366803,20.62058,21.07402,26.47087999,6.196,0.126563922,,26.67611975,,3.74461289,47.65483333,2954.417524,77.6,19.64346248,1.688485448,58.618,29839994,2.831299639,45.761,,115,31.80972721,22.6962,3.994961219
Albania,Europe & Central Asia,2008,43.10218978,26.44657,25.65726,58.45331469,1.761,1.297752738,0.655651275,29.51131757,1804.419415,109.0742842,56.11927665,19096.59108,17.4,4.360904563,23.86,76.433,3181397,0.369450443,110.665,636.3413834,11.2,275.1425204,50.1148,2.596203466
Algeria,Middle East & North Africa,2008,17.34404259,24.5962,26.36841,78.51588828,2.725,3.232666515,1.08761925,46.27365752,2173.787903,147.8207065,22.9086299,18488.15952,19.8,14.60217944,10.18,70.332,34428028,1.526116691,14.455,590.5098143,7,185.8482335,69.89,3.0645753
American Samoa,East Asia & Pacific,2008,25,,,,,,,,,,,,,,,,66217,1.6551955,332.749,,,,92.3,2.023152238
Andorra,Europe & Central Asia,2008,38.29787234,27.63048,26.43196,77.74804122,,6.527241242,,,21943.3399,2369.684492,,111139.5081,3,3.185098698,70.04,,82577,1.447877605,176.447,,8.9,3391.470029,88.8082,0.891372396
Angola,Sub-Saharan Africa,2008,46.27416379,22.25083,23.48431,37.55055726,6.434,1.442642492,0.657618232,78.09852295,622.566879,125.54511,51.22579473,16465.37324,109.7,19.68160897,4.6,49.882,18037964,2.882927374,14.469,172.9992274,167,148.8788168,56.6046,4.462704179
Anguilla,America,2008,,,,,,3.980909729,,,,,,72436.12147,,,,,14737,,161.945,,,,,
Antigua and Barbuda,America,2008,29.54545455,25.76602,27.50545,157.2173433,2.164,5.14880507,,46.16573957,13352.16854,408.58569,67.09407114,51679.74211,10.5,3.021692885,75.03,75.087,86881,1.094816972,196.563,,,601.8928464,30.1824,0.598410103
Argentina,America,2008,51.52209421,27.5017,27.46523,117.1083875,2.241,4.585560931,1.930172655,24.47541308,9935.834246,437.0032935,20.65042544,40373.84624,13.8,19.06845032,28.11262348,75.41,39714298,0.875629394,14.284,768.4282997,67.4,698.4512684,91.9622,1.086154641
Armenia,Europe & Central Asia,2008,61.34129213,25.35542,27.1342,46.83206418,1.4,1.804106217,0.973201147,15.0471035,1520.033931,63.53859502,40.65575862,16040.94197,17.9,5.989562361,6.21,74.07,3079087,0.159460015,103.325,603.7630576,27.2,142.7182745,64.1132,0.122656896
Aruba,America,2008,11.11111111,,,114.4798438,1.726,21.68186039,,,,,,76064.92269,,,34.2,74.772,105526,1.240534428,586.256,,35.8,,46.7062,1.316356101
Australia,East Asia & Pacific,2008,54.31810786,27.56373,26.87777,102.8176451,1.956,18.2656569,5.778817313,19.88292009,25190.72063,2875.460883,21.75122708,103332.9992,4.3,4.611955757,71.7210626,81.567,21513817,2.001429237,2.779,2825.391095,16.8,4229.033066,88.7004,2.196432346
Austria,Europe & Central Asia,2008,38.45967253,26.46741,25.09414,129.6601719,1.411,8.178764487,4.023800859,59.26723174,27305.92329,3976.358149,53.51060924,110100.9217,3.6,1.763741978,72.91265428,80.51,8341806,0.434411324,99.475,2068.123309,11.202,5153.358661,67.086,0.709062958
Azerbaijan,Europe & Central Asia,2008,57.5647543,25.65117,27.50879,73.21436558,1.986,5.918422112,1.51548132,65.7774117,2110.970428,45.04588745,23.46733444,16661.02525,36.9,27.73015196,17.43121254,70.142,8943600,2.099854033,103.275,921.5621108,33,233.8604458,52.9962,2.482499362
Bahamas,America,2008,1.298701299,27.24594,29.13948,107.3095147,1.889,7.373751601,,46.04148351,20911.59943,829.1848864,54.02514155,45120.15489,14.9,1.488889903,31.54,74.407,333661,1.44903384,24.042,,31,1833.425569,83.6656,1.687408411
Bahrain,Middle East & North Africa,2008,9.210526316,27.83721,28.79094,136.9097428,2.229,23.09002916,8.7847075,96.84896908,12505.21254,565.1189489,74.31211599,63077.87199,9.1,11.54122563,51.95,75.914,1052359,12.82037337,1516.367,7314.355637,15,793.4660518,88.5384,12.86533572
Bangladesh,South Asia,2008,69.00207421,20.39742,20.54531,30.68498876,2.377,0.31921141,0.191053023,20.33960131,508.5557725,49.06882266,28.75147667,2940.664296,42.8,8.789101226,2.5,68.648,145478300,1.05136453,1010.28,68.11522858,77,,26.9908,2.738682722
Barbados,America,2008,44.18604651,26.38439,29.22169,106.0555515,1.831,5.523305654,,60.04552356,9781.356913,627.514953,64.19105691,33919.80138,18.2,7.462771169,66.5,74.539,272180,0.206694471,632.977,,42,958.1784845,42.8062,1.47953083
Belarus,Europe & Central Asia,2008,43.94775752,26.16443,26.64186,83.96095733,1.416,6.48817388,2.931195793,60.93775522,2510.27848,242.9644738,68.66172333,23067.47998,5.6,21.1604911,23.18848886,69.194,9680690,-1.036063971,46.631,614.9072872,20.794,373.3470911,73.7106,-0.420694163
Belgium,Europe & Central Asia,2008,45.34346103,26.75915,25.1446,106.9753382,1.819,9.890022172,5.469581576,84.93280404,25082.37413,3563.699189,83.72652364,67013.20352,3.7,2.157311729,65.33564762,79.777,10602167,0.789976845,347.293,1920.962215,10,4754.275222,97.3904,0.823661402
Belize,America,2008,6.663743972,27.02255,29.81663,53.48001751,2.907,1.36012592,,61.86651999,3684.074728,137.8537704,70.04489586,14594.04525,17.1,3.1914144,10.50720419,72.772,299237,3.346271811,13.03,,77,218.9570745,45.5022,2.755521358
Benin,Sub-Saharan Africa,2008,30.69065268,22.41835,23.74026,43.38648489,5.273,0.537539184,0.392489451,15.24092762,373.5066867,17,28.84782463,2895.273853,66.9,7.121005393,1.85,58.272,8355980,2.956236975,74.195,38.22294336,109,33,42.956,4.483342337
Bermuda,America,2008,0,28.41894,30.31529,122.183213,,6.011207861,,26.34129685,67554.23287,,36.13927456,152192.5456,,2.686393411,82.88584268,,64657,0.3125,1219.943,,16,,100,0.312012734
Bhutan,South Asia,2008,13.07632196,22.8218,22.88243,36.13378522,2.506,0.60121031,,46.58583826,1208.403311,80.91950447,57.70979056,9159.314208,41,5.693203688,6.55,65.981,701363,1.839262637,14.923,,49,94.06479136,33.2618,4.167905831
Bolivia,America,2008,33.98781501,24.43335,26.8633,52.3846526,3.477,1.442121852,0.617864845,44.906556,1182.464638,55.6030594,37.9604649,7912.793374,38.4,10.38118174,12.5,65.728,9618466,1.624281601,8.755,213.0616137,78,85.35091165,65.515,2.301222343
Bosnia and Herzegovina,Europe & Central Asia,2008,41.76470588,26.61163,26.35874,84.23152783,1.218,8.268586103,1.577568701,41.06450461,2222.564552,294.1922506,77.88623144,15479.95305,7.2,7.556584433,34.66,75.608,3774164,-0.128952019,73.718,927.1194974,16,505.6025539,46.7438,0.934793991
Botswana,Sub-Saharan Africa,2008,45.6160782,22.12984,26.09156,76.00645992,2.86,2.547205491,1.100672082,42.12054977,4223.234151,407.2406372,41.7771791,26480.12212,46.1,17.32000786,6.25,46.384,1954822,1.405456219,3.36,454.7957053,50,535.9908441,59.5142,2.642020662
Brazil,America,2008,31.29056129,25.78623,25.99113,78.64616123,1.897,2.023772836,1.296541229,13.6631968,4478.809189,305.7357418,13.47468092,19363.09671,16.7,8.332879387,33.83,72.572,191543237,0.915284629,22.497,498.1653052,76,714.9898562,83.7346,1.274442514
British Virgin Islands,America,2008,,27.31079,28.92512,,,4.51044138,,,,,,90026.54866,13.6,,,,22762,,150.742,,,,,
Brunei,East Asia & Pacific,2008,2.087286528,24.18179,22.89231,103.681358,2.095,27.60281956,9.433509663,78.29923669,17722.65838,754.3002887,27.61460739,93050.46494,6.9,12.69238156,46,77.566,384695,1.884580735,66.729,3067.498901,25,877.0618037,74.7654,2.442272554
Bulgaria,Europe & Central Asia,2008,46.96620937,26.54286,25.51574,137.3807092,1.433,6.690139082,2.596119577,58.21740234,2661.640139,277.5574139,78.73204869,22853.75981,11.8,8.41565821,39.50310114,73.317,7591322,-0.475936534,68.445,1380.869289,42,474.172846,71.586,0.181375069
Burkina Faso,Sub-Saharan Africa,2008,45.1754386,21.27157,21.63031,19.49145802,6.037,0.109655497,,,270.1248597,21.56151702,,2441.906737,76.2,9.161945647,0.92,54.174,15515258,2.970687326,56.625,,123,36.5127274,24.015,6.470748008
Burundi,Sub-Saharan Africa,2008,85.28037383,21.50291,21.27927,6.050115914,6.481,0.024464801,,6.512722906,135.862446,6.80837092,,914.8089951,75.9,28.16345618,0.81,51.578,7943385,3.010916872,285.384,,19,18.31932186,10.1352,5.542900062
Cambodia,East Asia & Pacific,2008,31.46952187,20.80496,21.69608,30.65260163,3.051,0.358373309,0.254186247,65.5432507,538.1334555,12.65904548,67.77700868,3594.400757,41.8,12.25378661,0.51,69.71,13822644,1.111492715,76.353,51.58131958,40,38.85543014,19.558,1.768107366
Cameroon,Sub-Saharan Africa,2008,19.48975059,23.68173,24.9527,32.84272035,5.167,0.295541639,0.340917516,31.06591982,650.0360972,13.04549914,35.53621417,4040.196459,69.9,4.197871097,3.4,52.878,18758778,2.203102945,39.455,59.55124498,125,63.83446755,50.3236,3.390887392
Canada,America,2008,7.433873169,27.4521,26.69829,66.28819759,1.6808,16.35039863,7.945846493,35.11716845,26101.76407,3258.486529,33.59410958,71956.4191,5,4.109690014,76.72038636,80.743,33327954,1.175475786,3.343,4772.370648,13.4138,4622.626436,80.3812,1.283021416
Cayman Islands,America,2008,8.333333333,,,177.7972692,,9.814027791,,,,,,98763.12276,,,61,,55295,1.120276506,209.451,,,,100,1.120276506
Central African Republic,Sub-Saharan Africa,2008,8.363029311,20.99095,22.40158,,4.809,,,,,,23.59234234,1422.881306,,,,46.769,4237961,,,,105,,,
Chad,Sub-Saharan Africa,2008,39.09625159,21.48569,21.95424,15.01816917,6.805,0.046462461,,52.8,283.2750275,6.04398315,50.2,3312.952546,96.3,11.9427083,1.19,48.881,10653762,2.681872422,8.297,,159,28.03009406,21.6942,2.785179169
Channel Islands,Europe & Central Asia,2008,42.10526316,,,,1.424,,,,,,,,,,,79.57,151705,0.671973533,777.974,,10,,30.9074,0.953207519
Chile,America,2008,21.16525224,27.01542,27.92807,88.09806834,1.888,4.207949073,1.804632441,41.50668497,6581.357952,336.9105548,41.07065621,27306.59925,7.8,0.473024863,37.3,78.561,16795593,0.971258603,22.198,532.5151772,58,764.7971784,88.4144,1.270072293
China,East Asia & Pacific,2008,56.02199093,22.92176,22.91041,48.27650502,1.63,5.29789957,1.574831307,34.97950937,2032.61498,78.2202325,27.26426556,12963.19733,15.8,7.797851283,22.66176993,74.57,1328275524,0.512386932,138.406,331.376632,9,156.5990529,46.5444,3.435383537
Colombia,America,2008,38.40829202,24.94041,26.22529,91.90986394,2.43,1.47609182,0.648981524,17.78948399,3131.177668,266.1789425,20.27222542,14372.18202,17,7.768531587,25.6,72.997,45005782,1.462579403,39.516,404.5913654,73,376.9990035,74.4444,1.849925867
Comoros,Sub-Saharan Africa,2008,80.64516129,22.06131,22.44433,13.16162483,5.051,0.178853064,,13.90981033,341.2159913,23.22485312,48.2827568,2052.05069,63.8,5.505984111,3,59.771,697034,2.679939047,374.548,,57,34.45666035,27.932,2.747984533
Cook Islands,East Asia & Pacific,2008,,,,,,3.480027308,,,,420.0260321,,,10.4,,,,,,84.826,,,448.6609036,,
Costa Rica,America,2008,35.25264395,26.47897,27.03497,41.71867025,1.909,1.911933419,1.014460904,45.43520025,5196.689144,413.1338945,55.19153428,19663.0951,9.1,12.40776103,32.29,78.896,4522124,1.549180305,88.496,798.3405996,65,617.698283,63.194,2.337161378
Cote d'Ivoire,Sub-Saharan Africa,2008,63.83647799,22.56469,23.82088,55.0325599,4.913,0.369428069,0.541320704,46.51204624,574.9350967,17.05693465,38.80295689,3018.455016,83.9,7.998622645,1.9,48.753,18987007,1.808282045,58.881,70.38744444,125,71.8341187,49.0686,3.336553039
Croatia,Europe & Central Asia,2008,23.01644031,26.59629,25.17882,103.0868731,1.432,5.289562306,2.043194181,42.0644641,6793.44909,1038.836199,49.9386845,29836.90147,5.1,6.088868342,50.42182729,76.149,4418387,-0.045095829,78.149,1494.410268,13,1224.051693,57.0846,0.351945318
Cuba,America,2008,61.34911687,25.06867,26.57614,2.944340083,1.498,2.644174835,0.932904822,20.56763948,4337.776952,557.0487718,24.34965513,18519.89044,4.9,-0.344016256,12.94,78.358,11266905,-0.015814983,101.631,528.7873497,45,584.6386615,75.369,-0.117926851
Cyprus,Europe & Central Asia,2008,12.44588745,27.41899,25.92587,94.40464772,1.493,7.94273481,2.401262394,45.43876902,15620.66611,796.0664683,56.18672991,51801.24839,3.3,5.057041426,42.31,79.045,1077001,1.305982783,116.42,2123.762863,6,1917.63775,69.9642,1.554131456
Czech Republic,Europe & Central Asia,2008,54.93851133,27.90524,26.51348,,1.434,,,,,,72.53958667,46589.75265,,,,77.26,10377359,,,1438.780412,11,,,
Denmark,Europe & Central Asia,2008,62.88003771,26.13287,25.10627,119.2762572,1.8923,8.521498021,3.495098952,54.7348433,32320.10054,5390.313138,51.56215776,69258.2024,3.6,4.231711987,85.0771224,78.408,5497312,0.58754759,127.566,1884.299342,6.2,6345.456782,86.4194,0.805096373
Djibouti,Middle East & North Africa,2008,73.38222606,23.38403,24.38177,13.18878589,3.755,0.612799524,,,869.0854807,56.08224869,,4211.371645,73,9.523655216,2.26,59.292,855636,1.909456281,36.881,,22,82.4769433,76.9038,1.971370956
Dominica,America,2008,30.66666667,24.5727,28.7839,133.5113485,,1.88285235,,35.12263621,6071.023247,204.2066128,61.92300493,19964.33605,12.2,1.10665931,41.16,,68159,-0.40265661,90.758,,,328.0999276,66.996,-0.354881154
Dominican Republic,America,2008,50.64155629,25.19668,26.87005,,2.652,,,,,,39.23876391,12391.38216,,,,72.286,9664948,,,457.6448423,108,,,
East Germany,Europe & Central Asia,2008,,,,,,,,,,,,,,,,,16384470,,,,,,,
Ecuador,America,2008,29.9766468,25.58841,27.06269,83.1236759,2.728,2.110517801,0.784493844,37.86205653,1710.53306,71.6382421,37.79025232,14183.47173,22.2,11.08580283,18.8,75.172,14056740,1.483690803,49.572,314.8261997,82,270.0646005,65.5606,2.481936235
Egypt,Middle East & North Africa,2008,3.558189763,26.73243,30.09997,52.71313013,2.954,2.685046111,0.917523723,33.04299274,1858.858447,42.71494519,38.63763261,11524.51889,21.6,12.20398446,18.01,70.042,78323298,1.779877801,78.21,536.7604507,45,101.233189,43.2358,1.940985218
El Salvador,America,2008,74.95173745,26.36751,27.84092,113.3951848,2.319,1.063577322,0.733985162,26.88162008,2629.937905,128.29494,49.6985675,11654.35322,16.4,5.254720102,10.08,71.41,6129628,0.470300681,291.318,256.0991513,81,215.9348711,63.2272,1.30633884
Equatorial Guinea,Sub-Saharan Africa,2008,11.0516934,23.7664,24.52837,27.17690808,5.314,7.26881636,,78.80650079,8603.111686,418.3547275,31.55808998,30119.18142,80.8,23.68635997,1.82,50.347,662327,2.81600494,23.612,,121,750.7492863,39.1522,3.052285928
Eritrea,Middle East & North Africa,2008,74.97029703,20.88509,21.08232,2.195665263,5.163,0.083745644,0.136885523,4.434495759,146.8084041,5.38802777,26.13430726,1124.029866,42.4,16.08673675,4.06,60.236,4947521,3.057056175,42.071,20.28813109,64,10.65961855,20.162,4.904186655
Eritrea and Ethiopia,Middle East & North Africa,2008,,,,,,,,,,,,,,,,,83282565,,,,,,,
Estonia,Europe & Central Asia,2008,21.39655579,26.26446,25.18598,121.034985,1.619,13.69524157,4.05787234,71.0479147,6783.903384,836.0005608,75.62248279,37967.55305,4.2,5.327443615,70.65738833,73.23,1342145,-0.074337887,29.759,1411.230532,21,1057.761804,69.4466,-0.063969672
Ethiopia,Sub-Saharan Africa,2008,34.513,20.247,20.71463,2.46018263,5.193,0.089490083,0.395909374,11.40412621,190.8632151,7.28726668,30.83498027,1531.882424,57.3,30.31248562,0.45,59.673,79446419,2.199031881,71.943,15.05623591,68,14.04323536,16.3342,3.50169688
Faeroe Islands,Europe & Central Asia,2008,2.158273381,,,112.8876268,,14.56194141,,,,,,,,,75.57,,48597,0.051456741,34.737,,,,40.468,0.618943117
Falkland Islands (Malvinas),America,2008,,,,,,19.6012919,,,,,,,,,,,,,0.246,,,,,
Fiji,East Asia & Pacific,2008,23.42638205,26.53078,29.33941,71.11945579,2.736,1.282125745,,51.22439976,2296.09836,115.5430891,72.17012527,8371.994523,19.1,3.293645182,13,68.903,843651,0.998746775,46.167,,45,153.0510915,51.0506,1.771944476
Finland,Europe & Central Asia,2008,7.555116815,26.73339,25.58418,128.4719884,1.85,10.54824622,6.638822531,46.83470674,28789.54385,3166.920942,43.08235041,66324.80547,2.7,2.945294579,83.71621739,79.699,5316334,0.465549285,15.722,4036.953993,8.7,4253.864436,83.2968,0.622461063
France,Europe & Central Asia,2008,53.53503999,25.85329,24.82949,93.35504274,1.973,6.070348368,4.113621539,26.94885927,23366.40262,3839.004847,29.05361317,60919.44264,3.6,2.542074026,68.18519055,81.254,62098413,0.558432414,112.599,2539.753273,7,4940.962108,83.7594,1.439577793
French Guiana,America,2008,,,,,3.257,3.150988265,,,,,,,,,,76.009,219931,,2.444,,,,,
French Polynesia,East Asia & Pacific,2008,12.29508197,30.86752,32.06648,70.74366544,2.156,3.354237465,,,,,,52702.50293,,,33.87,75.109,264541,1.215487519,66.135,,51,,51.5636,1.076338862
Gabon,Sub-Saharan Africa,2008,19.9479955,24.0762,25.95121,89.63600885,4.275,1.55484,1.371708807,66.56721409,4161.431603,115.0856925,32.00687798,24906.78125,47.8,14.66683049,6.21,61.43,1450310,1.856246192,5.418,537.1047381,88,263.3327643,84.9004,2.409952754
Gambia,Sub-Saharan Africa,2008,65.5,21.65029,24.82101,71.27504497,5.798,0.251002329,,23.45294726,615.0835921,12.65679575,48.28559211,1478.670847,52.6,4.473146822,6.88,57.588,1636107,2.77325281,144.852,,75,26.37122177,55.242,4.061336426
Georgia,Europe & Central Asia,2008,36.30738236,25.54942,26.45014,62.7008583,1.788,1.419429779,0.685393389,28.61997221,1249.004619,51.83188353,58.40357734,8691.31155,20.4,9.707409287,10.03356073,73.599,4394018,-0.107157931,63.042,617.9255518,44,261.8769209,52.6332,-0.003747665
Germany,Europe & Central Asia,2008,48.53856524,27.16509,25.73903,127.9450964,1.368,9.537169835,4.068953992,48.15223543,25620.07539,3611.940942,41.83765866,66314.48792,3.6,0.773766488,78.34689488,80.06,82475271,-0.190142845,231.009,1693.891898,10,4718.159173,73.631,-0.065117348
Ghana,Sub-Saharan Africa,2008,68.11989101,22.84247,24.33014,49.7349659,4.188,0.366600849,0.385049357,25.02942973,336.3518402,39.76349477,44.48471928,2782.374066,53.6,20.20210176,4.27,60.051,23264176,2.400350372,97.53,97.24649212,69,68.51149554,49.8066,3.824309565
Gibraltar,Europe & Central Asia,2008,,,,,,14.39774189,,,,,,,,,,,29287,,4881.167,,,,,
Greece,Europe & Central Asia,2008,63.84018619,26.33786,24.92026,122.2066583,1.459,8.661884969,2.706980292,24.13023643,14711.61049,1845.335169,38.55507109,54512.93474,4.1,4.720160003,38.3859944,79.89,11291807,0.395286138,85.572,1690.718434,12,3078.408214,60.8578,0.692484694
Greenland,America,2008,0.572542332,26.01359,26.68019,97.3812307,2.247,10.04355892,,,21937.29475,,,75739.79102,,-23.48173174,63.92298573,,57317,-0.402186877,0.026,,53.2,,83.773,-0.037443377
Grenada,America,2008,35.29411765,25.17988,27.31948,57.86758964,2.282,2.368487864,,22.80187018,6487.66739,213.8970216,54.47435273,18597.69525,12.2,7.151139968,23.18,72.064,103723,0.342844786,301.52,,41,474.0900717,38.1942,1.156214325
Guadeloupe,America,2008,,,,,2.132,3.81770775,,,,,,,,,,79.548,455247,,267.007,,,,,
