# Visitor arrivals by country of residence all travel mode (Monthly) -- Source Statistics New Zealand --  See metadata at bottom of table,,,,,,,,,,,
# Added GBPound to NZ Dollar Exchange Rate in Col. 10 plus Year &  Month,,,,,,,,,,,
Time,Australia,China PR,Japan,Rep Korea,Germany,UK,Canada,USA,GBP.to.NZD,Year,Month
1998M01,39660,1665,14880,1380,6555,20430,4380,16635,2.8229838,1998,1
1998M02,42228,1428,18768,1032,7968,25056,3948,20580,2.815325579,1998,2
1998M03,40820,1508,14898,702,5278,14417,3276,18265,2.903911864,1998,3
1998M04,45948,1296,9996,1008,2892,10092,2124,12372,3.022019864,1998,4
1998M05,30920,1480,7730,790,1370,6340,1260,8920,3.0410344,1998,5
1998M06,31437,1161,7848,864,918,5967,1071,9612,3.222476136,1998,6
1998M07,39888,1140,13644,1692,1356,7476,1944,11304,3.170615391,1998,7
1998M08,36984,960,13536,1368,1368,7104,1680,7512,3.262134905,1998,8
1998M09,47028,1116,10032,1056,2028,6672,1272,7908,3.335833571,1998,9
1998M10,41041,1235,10283,1482,4381,10218,2340,14885,3.252175714,1998,10
1998M11,43823,1456,14937,2457,6877,18148,3731,17355,3.110565684,1998,11
1998M12,62115,1965,16425,3855,5490,23370,3990,16995,3.1990965,1998,12
1999M01,41920,1552,13696,4592,6720,21824,4688,18544,3.06170075,1999,1
1999M02,40976,1664,17693,2834,6968,25584,4381,21892,2.9926533,1999,2
1999M03,45955,1300,13741,2899,4485,17719,3809,18681,3.047236174,1999,3
1999M04,44304,1560,9893,2223,2210,9724,2015,12753,2.962736667,1999,4
1999M05,31680,1950,8540,2060,1350,6940,1380,9050,2.92346785,1999,5
1999M06,31988,1727,6776,2508,946,6754,1177,10670,2.991608773,1999,6
1999M07,40600,1666,12194,3458,1288,8498,1778,11774,2.993052952,1999,7
1999M08,40755,1560,12402,3107,1391,7917,1547,8944,3.049799381,1999,8
1999M09,49036,2106,9308,3003,1859,8567,1521,10049,3.105613238,1999,9
1999M10,41580,2324,9898,4256,4662,13762,2646,16800,3.2211904,1999,10
1999M11,44954,2520,17668,5670,7756,21014,3906,18620,3.161526571,1999,11
