# Visitor arrivals by country of residence all travel mode (Qrtly-Mar/Jun/Sep/Dec),,,,,,,,,,,,
Time,Australia,China PR,Japan,Rep Korea,Germany,UK,Canada,USA,Year,Quarter,Time2,Time3
1998Q1,122708,4601,48546,3114,19801,59903,11604,55480,1998,Q1,1998.00,1998.125
1998Q2,108305,3937,25574,2662,5180,22399,4455,30904,1998,Q2,1998.25,1998.375
1998Q3,123900,3216,37212,4116,4752,21252,4896,26724,1998,Q3,1998.50,1998.625
1998Q4,146979,4656,41645,7794,16748,51736,10061,49235,1998,Q4,1998.75,1998.875
1999Q1,128851,4516,45130,10325,18173,65127,12878,59117,1999,Q1,1999.00,1999.125
1999Q2,107972,5237,25209,6791,4506,23418,4572,32473,1999,Q2,1999.25,1999.375
1999Q3,130391,5332,33904,9568,4538,24982,4846,30767,1999,Q3,1999.50,1999.625
1999Q4,156214,8156,43102,16550,19026,54744,11000,58524,1999,Q4,1999.75,1999.875
2000Q1,143198,8077,43422,20778,20136,71694,12210,65078,2000,Q1,2000.00,2000.125
2000Q2,119461,7140,26237,11753,5712,30641,4765,38235,2000,Q2,2000.25,2000.375
2000Q3,139935,7116,35714,14113,5188,27941,4295,35536,2000,Q3,2000.50,2000.625
2000Q4,171268,11169,46000,19937,20415,69974,11701,56932,2000,Q4,2000.75,2000.875
2001Q1,162073,13732,49558,24855,22527,81372,14629,64848,2001,Q1,2001.00,2001.125
2001Q2,138051,10878,30005,15712,5348,30072,5219,37370,2001,Q2,2001.25,2001.375
2001Q3,161923,13685,37753,22615,5749,30857,5157,34812,2001,Q3,2001.50,2001.625
2001Q4,168502,14879,31769,23985,18858,69345,11689,50351,2001,Q4,2001.75,2001.875
2002Q1,165370,20306,49969,30966,19327,96363,16746,73588,2002,Q1,2002.00,2002.125
2002Q2,128454,16240,30852,20314,4623,31521,4936,36047,2002,Q2,2002.25,2002.375
2002Q3,156386,18342,38992,25602,5641,32678,5085,35636,2002,Q3,2002.50,2002.625
2002Q4,182260,21646,53754,33054,19360,76424,12902,60018,2002,Q4,2002.75,2002.875
2003Q1,171254,23538,49118,36347,20817,99406,16747,74095,2003,Q1,2003.00,2003.125
2003Q2,145567,7185,21524,16029,5372,41008,5180,38091,2003,Q2,2003.25,2003.375
2003Q3,172015,12603,32365,26881,6532,38116,5011,35652,2003,Q3,2003.50,2003.625
2003Q4,213326,22663,47844,33401,19813,86289,13002,63786,2003,Q4,2003.75,2003.875
2004Q1,212480,21951,48482,37790,23189,110959,16416,71987,2004,Q1,2004.00,2004.125
2004Q2,184305,17112,32153,20157,5180,42560,5901,41429,2004,Q2,2004.25,2004.375
2004Q3,214168,18542,36540,24230,6942,39178,5476,39786,2004,Q3,2004.50,2004.625
2004Q4,244980,26763,47848,31731,20425,91003,12809,65143,2004,Q4,2004.75,2004.875
2005Q1,231884,21809,46752,36558,24686,120813,17441,73646,2005,Q1,2005.00,2005.125
2005Q2,183828,16820,32029,21383,5336,54289,6037,42103,2005,Q2,2005.25,2005.375
2005Q3,215172,19345,32988,23973,7329,42341,5954,36626,2005,Q3,2005.50,2005.625
2005Q4,243854,29876,43156,30091,20198,89372,12750,62132,2005,Q4,2005.75,2005.875
2006Q1,227877,24733,45035,31975,24603,120606,18536,79021,2006,Q1,2006.00,2006.125
2006Q2,193871,23024,24318,21861,6005,41906,6499,44753,2006,Q2,2006.25,2006.375
2006Q3,218454,23211,28782,25317,8001,37440,6492,38379,2006,Q3,2006.50,2006.625
2006Q4,263302,34748,38266,32208,20744,94860,14428,63476,2006,Q4,2006.75,2006.875
2007Q1,238367,33381,38755,32290,24040,128606,19261,75846,2007,Q1,2007.00,2007.125
2007Q2,199701,25261,21849,22164,6295,40693,6711,43704,2007,Q2,2007.25,2007.375
2007Q3,238865,24982,27132,21247,8521,37362,6451,34777,2007,Q3,2007.50,2007.625
2007Q4,273273,37180,33916,23752,20909,86056,15369,61700,2007,Q4,2007.75,2007.875
2008Q1,258632,36900,33592,24680,25233,129098,23344,82576,2008,Q1,2008.00,2008.125
2008Q2,196848,24766,20290,19226,6215,38545,6841,37440,2008,Q2,2008.25,2008.375
2008Q3,238895,18759,24354,19097,8527,35548,7201,33325,2008,Q3,2008.50,2008.625
2008Q4,281825,31973,24246,16058,22325,81903,15881,59069,2008,Q4,2008.75,2008.875
2009Q1,258302,37967,27934,16832,24841,107737,19710,66821,2009,Q1,2009.00,2009.125
2009Q2,228838,18842,11940,9746,7144,37190,7154,37572,2009,Q2,2009.25,2009.375
2009Q3,276482,15060,15570,12397,9288,32809,6904,34268,2009,Q3,2009.50,2009.625
2009Q4,319058,30390,22982,13946,23291,80702,14888,59131,2009,Q4,2009.75,2009.875
2010Q1,292509,36228,29127,21305,26294,104675,19751,65481,2010,Q1,2010.00,2010.125
2010Q2,231388,23512,15908,13596,6148,30744,7072,35128,2010,Q2,2010.25,2010.375
2010Q3,278806,25266,19856,14950,9372,26910,6786,32414,2010,Q3,2010.50,2010.625
2010Q4,317176,37706,22844,17458,22834,71985,15333,56686,2010,Q4,2010.75,2010.875
2011Q1,284670,43080,26775,19035,25955,90260,19950,65730,2011,Q1,2011.00,2011.125
2011Q2,230540,25596,9084,8280,7076,30888,6340,33320,2011,Q2,2011.25,2011.375
2011Q3,290208,29248,15696,11328,9168,37008,8000,29536,2011,Q3,2011.50,2011.625
2011Q4,351008,47600,17408,14144,21520,72160,14864,56128,2011,Q4,2011.75,2011.875
2012Q1,296560,57824,22864,18800,25728,82096,19952,65072,2012,Q1,2012.00,2012.125
2012Q2,237520,40816,11104,9568,6576,23184,6480,32080,2012,Q2,2012.25,2012.375
2012Q3,287296,40528,17648,10128,8720,20944,5872,26832,2012,Q3,2012.50,2012.625
2012Q4,334416,57856,20464,14400,22752,63424,14144,53696,2012,Q4,2012.75,2012.875
2013Q1,311504,71040,26256,16816,26752,81920,20576,75424,2013,Q1,2013.00,2013.125
2013Q2,250640,53296,10592,9360,6816,22720,6368,33504,2013,Q2,2013.25,2013.375
2013Q3,299152,54144,17008,10224,9776,22816,5872,28848,2013,Q3,2013.50,2013.625
2013Q4,356720,50448,20704,14592,26464,64176,15376,63648,2013,Q4,2013.75,2013.875
