# Average number of visitors in New Zealand by country of residence (Monthly),,,,,,,,
Time,Australia,China PR,Japan,Rep of Korea,Germany,UK,Canada,USA
1998M09,17244,748,6093,979,1320,5794,973,3837
1998M10,18090,941,5039,1083,2459,7876,1418,6093
1998M11,16750,1054,6112,1144,5195,13362,2236,8468
1998M12,25909,1270,6670,1836,5499,22557,2935,7865
1999M01,27228,1375,6008,2716,6430,27477,3623,10007
1999M02,19461,1660,7478,2245,7320,20187,4394,12533
1999M03,19200,1456,7341,1611,6094,13448,3573,10519
1999M04,19595,1488,5030,1416,3157,8587,1795,6737
1999M05,12564,1449,4275,1192,1450,7271,1160,4932
1999M06,10987,1413,3758,1255,765,8098,903,4845
1999M07,14797,1510,5755,1787,1068,8243,1273,5578
1999M08,14519,1575,8693,2006,1172,7338,1199,4281
1999M09,18084,1570,6091,1498,1270,10275,1157,4567
1999M10,17229,1741,5119,1801,2562,16124,1596,7297
1999M11,17185,1985,6743,2193,5887,20945,2932,10100
1999M12,29083,2333,6805,3019,6573,22626,3724,11325
2000M01,32261,2124,6108,5213,7585,30591,4077,13770
2000M02,22110,2658,7778,4022,8514,23207,4550,15021
2000M03,21207,2329,7345,2987,7172,16548,3839,12394
2000M04,22816,2563,5010,2567,3873,10034,2344,8032
2000M05,13260,2709,4477,2155,1894,8324,1540,5946
2000M06,11684,2344,3762,2049,1202,9039,1164,5525
2000M07,15983,2655,6220,3474,1439,9311,1255,7388
2000M08,14995,2922,9707,3519,1614,7267,1218,5424
2000M09,20482,2607,6558,2202,1745,10195,944,4183
2000M10,18278,3075,5494,2360,3182,16700,1479,6697
2000M11,19216,3303,7665,3092,7182,25616,2787,9281
2000M12,30673,3498,7204,4055,6924,29651,3686,10910
2001M01,34312,3698,7194,6711,8002,34187,4421,11314
2001M02,23688,4003,8889,5508,9027,24853,5269,14263
2001M03,24244,3636,8495,4186,7797,16915,4520,12119
2001M04,23411,3671,5866,4126,3924,10417,2536,7824
2001M05,15537,3559,5458,3752,1992,8744,1574,5539
2001M06,14731,3358,4539,3561,1203,9671,1290,5857
2001M07,19502,4298,6117,5806,1482,10637,1384,7275
2001M08,17893,4718,9982,5863,1731,8489,1405,6098
2001M09,21035,4612,7010,4404,2072,11093,1102,5153
2001M10,21364,5203,5508,4533,3500,17332,1688,7101
2001M11,19117,5686,6303,5011,7122,26492,2816,9503
2001M12,30184,6133,6831,6506,7004,32324,3789,10971
2002M01,34693,5890,6693,10105,7291,38572,4867,13721
2002M02,23864,7736,8493,8085,8622,31620,5704,15397
2002M03,25614,7184,8724,6072,7714,20217,4648,13599
2002M04,22967,7658,6323,5927,4389,12923,2598,8688
2002M05,15876,7824,5725,4865,2319,11210,1702,5986
2002M06,14643,7716,4372,4432,1490,12072,1165,6622
2002M07,20643,8673,6923,6482,1748,12070,1443,7337
2002M08,17266,8887,10096,7218,1818,10301,1420,6263
2002M09,20382,8583,6916,5436,2250,13463,1300,5507
2002M10,20872,8854,6739,6100,3539,20048,2029,7676
2002M11,19982,8894,8092,6553,7280,29738,3371,11022
