"STATE","OfferNonEnglish","SpecificGroupAdolescent","SpecificGroupWomen","SpecificGroupPregnant","SpecificGroupMen","SpecificGroupSeniors","SpecificGroupLGBT","SpecificGroupVeterans","SpecificGroupMentalIllness","SpecificGroupTrauma","SlidingFeeScale","OffersFreeTreatment","AcceptsMedicare","AcceptsMedicaid","AcceptsStateInsurance","AcceptsMilitaryInsurance","AcceptsPrivateInsurance","LicensedByAuthority","PrivateForProfit","PrivateNonProfit","StateGovt","DUIProgram","OfferSignLanguage","AnyPublicFunding"
"AK",0.319148936170213,0.311827956989247,0.419354838709677,0.182795698924731,0.376344086021505,0.172043010752688,0.139784946236559,0.193548387096774,0.516129032258065,0.462365591397849,0.829787234042553,0.563829787234043,0.456521739130435,0.752688172043011,0.573033707865168,0.793103448275862,0.936170212765957,0.955555555555556,0.127659574468085,0.595744680851064,0,0.297872340425532,0.127659574468085,0.769230769230769
"AL",0.441176470588235,0.235294117647059,0.308823529411765,0.242647058823529,0.330882352941176,0.125,0.147058823529412,0.169117647058824,0.338235294117647,0.191176470588235,0.577777777777778,0.507462686567164,0.267175572519084,0.582089552238806,0.338461538461538,0.392307692307692,0.639097744360902,0.900763358778626,0.308823529411765,0.595588235294118,0.0220588235294118,0.0808823529411765,0.5,0.598484848484849
"AR",0.513274336283186,0.47787610619469,0.389380530973451,0.150442477876106,0.36283185840708,0.141592920353982,0.132743362831858,0.168141592920354,0.433628318584071,0.265486725663717,0.654867256637168,0.592920353982301,0.273584905660377,0.339449541284404,0.523364485981308,0.425925925925926,0.678571428571429,0.88785046728972,0.176991150442478,0.769911504424779,0.0176991150442478,0.371681415929204,0.371681415929204,0.59
"AZ",0.625698324022346,0.336134453781513,0.467787114845938,0.19047619047619,0.467787114845938,0.184873949579832,0.196078431372549,0.182072829131653,0.574229691876751,0.450980392156863,0.484507042253521,0.38135593220339,0.453488372093023,0.670487106017192,0.49112426035503,0.315634218289086,0.641833810888252,0.909620991253644,0.405027932960894,0.497206703910615,0.00279329608938547,0.287709497206704,0.473389355742297,0.461309523809524
"CA",0.546853146853147,0.221833449965011,0.515045486354094,0.277816655003499,0.486354093771868,0.242827151854444,0.247725682295311,0.232330300909727,0.516445066480056,0.445066480055983,0.615655853314528,0.490112994350282,0.186131386861314,0.303206997084548,0.242152466367713,0.135400907715582,0.550108147080029,0.911045218680504,0.329370629370629,0.548951048951049,0.0048951048951049,0.093006993006993,0.23249299719888,0.535531135531136
"CO",0.404522613065327,0.35264483627204,0.516372795969773,0.244332493702771,0.473551637279597,0.231738035264484,0.206549118387909,0.16624685138539,0.506297229219144,0.468513853904282,0.725888324873096,0.362944162436548,0.249350649350649,0.58656330749354,0.313672922252011,0.327956989247312,0.520512820512821,0.958868894601542,0.50125313283208,0.441102756892231,0.0300751879699248,0.62406015037594,0.233082706766917,0.482939632545932
"CT",0.638392857142857,0.191964285714286,0.575892857142857,0.223214285714286,0.575892857142857,0.254464285714286,0.241071428571429,0.209821428571429,0.678571428571429,0.589285714285714,0.753363228699552,0.511210762331839,0.538461538461538,0.844748858447489,0.694835680751174,0.403061224489796,0.752252252252252,0.954545454545455,0.0803571428571429,0.861607142857143,0.0267857142857143,0.0848214285714286,0.263392857142857,0.773148148148148
"DC",0.529411764705882,0.0882352941176471,0.529411764705882,0.0882352941176471,0.617647058823529,0.323529411764706,0.382352941176471,0.294117647058824,0.529411764705882,0.411764705882353,0.205882352941176,0.617647058823529,0.393939393939394,0.764705882352941,0.5,0.21875,0.3125,0.967741935483871,0.176470588235294,0.794117647058823,0,0.205882352941176,0.411764705882353,0.735294117647059
"DE",0.382978723404255,0.170212765957447,0.468085106382979,0.340425531914894,0.51063829787234,0.25531914893617,0.25531914893617,0.25531914893617,0.531914893617021,0.446808510638298,0.688888888888889,0.355555555555556,0.431818181818182,0.8,0.488372093023256,0.444444444444444,0.644444444444444,0.790697674418605,0.382978723404255,0.574468085106383,0,0.276595744680851,0.191489361702128,0.555555555555556
"FL",0.551675977653631,0.213986013986014,0.434965034965035,0.21958041958042,0.416783216783217,0.195804195804196,0.222377622377622,0.240559440559441,0.506293706293706,0.40979020979021,0.627478753541077,0.367231638418079,0.234104046242775,0.372832369942197,0.303703703703704,0.317910447761194,0.705293276108727,0.920236336779911,0.511173184357542,0.43854748603352,0.00418994413407821,0.222377622377622,0.389664804469274,0.419308357348703
"FM",1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
"GA",0.372611464968153,0.261980830670927,0.460063897763578,0.226837060702875,0.440894568690096,0.223642172523962,0.169329073482428,0.246006389776358,0.463258785942492,0.34185303514377,0.512903225806452,0.42258064516129,0.339805825242718,0.525806451612903,0.430921052631579,0.400673400673401,0.547540983606557,0.842281879194631,0.519108280254777,0.273885350318471,0.117834394904459,0.146496815286624,0.296178343949045,0.342372881355932
"GU",0.5,0.25,0.5,0.25,0.5,0.25,0.25,0.25,0.75,0.5,0,1,0,0,0,0.25,0.25,1,0.25,0.75,0,0.5,0,1
"HI",0.304597701149425,0.683908045977011,0.21264367816092,0.126436781609195,0.189655172413793,0.103448275862069,0.109195402298851,0.103448275862069,0.195402298850575,0.149425287356322,0.120689655172414,0.706896551724138,0.17816091954023,0.304597701149425,0.292397660818713,0.148809523809524,0.327586206896552,0.505813953488372,0.149425287356322,0.816091954022989,0.0114942528735632,0.0862068965517241,0.252873563218391,0.896551724137931
"IA",0.392638036809816,0.441717791411043,0.478527607361963,0.098159509202454,0.411042944785276,0.0613496932515337,0.0797546012269939,0.049079754601227,0.441717791411043,0.263803680981595,0.693251533742331,0.358024691358025,0.246913580246914,0.907407407407407,0.743589743589744,0.47887323943662,0.894409937888199,0.96875,0.153374233128834,0.779141104294479,0.0122699386503067,0.355828220858896,0.220858895705521,0.645569620253165
