RegionCode,RegionName,Discrim_School,Discrim_GetAJob,Discrim_InPublic,Discrim_Other,Discrim_Service,Discrim_AtWork,Discrim_Housing,Discrim_Medical,Discrim_Police
01,Northland Region,0.35845987,0.157809111,0.167570499,0.078633406,0.168112798,0.181670282,0.110086768,0.055856833,0.126898048
02,Auckland Region,0.306862745,0.154901961,0.154901961,0.061764706,0.149019608,0.152941176,0.078431373,0.045098039,0.084313725
03,Waikato Region,0.35845987,0.157809111,0.167570499,0.078633406,0.168112798,0.181670282,0.110086768,0.055856833,0.126898048
04,Bay of Plenty Region,0.35845987,0.157809111,0.167570499,0.078633406,0.168112798,0.181670282,0.110086768,0.055856833,0.126898048
05,Gisborne Region,0.384255651,0.166017147,0.210444271,0.077162899,0.191738114,0.194855807,0.113016368,0.063912705,0.121590023
06,Hawke's Bay Region,0.384255651,0.166017147,0.210444271,0.077162899,0.191738114,0.194855807,0.113016368,0.063912705,0.121590023
07,Taranaki Region,0.384255651,0.166017147,0.210444271,0.077162899,0.191738114,0.194855807,0.113016368,0.063912705,0.121590023
08,Manawatu-Wanganui Region,0.384255651,0.166017147,0.210444271,0.077162899,0.191738114,0.194855807,0.113016368,0.063912705,0.121590023
09,Wellington Region,0.435772358,0.167479675,0.204878049,0.097560976,0.195121951,0.204878049,0.120325203,0.05203252,0.143089431
12,West Coast Region,0.398496241,0.175438596,0.160401003,0.082706767,0.147869674,0.177944862,0.120300752,0.062656642,0.120300752
13,Canterbury Region,0.336898396,0.125668449,0.139037433,0.056149733,0.114973262,0.163101604,0.106951872,0.045454545,0.082887701
14,Otago Region,0.398496241,0.175438596,0.160401003,0.082706767,0.147869674,0.177944862,0.120300752,0.062656642,0.120300752
15,Southland Region,0.398496241,0.175438596,0.160401003,0.082706767,0.147869674,0.177944862,0.120300752,0.062656642,0.120300752
16,Tasman Region,0.398496241,0.175438596,0.160401003,0.082706767,0.147869674,0.177944862,0.120300752,0.062656642,0.120300752
17,Nelson Region,0.398496241,0.175438596,0.160401003,0.082706767,0.147869674,0.177944862,0.120300752,0.062656642,0.120300752
18,Marlborough Region,0.398496241,0.175438596,0.160401003,0.082706767,0.147869674,0.177944862,0.120300752,0.062656642,0.120300752
