DHB,heart,maori,total,Four.Digit.Code,Char.Code,HPI.Code,NAME
11,440,346,1383,1011,NLD,G00026-A,Northland
21,939,189,3016,1021,NWA,G00013-C,Waitemata
22,757,150,2421,1022,CAK,G00011-K,Auckland
23,743,338,2480,1023,SAK,G00012-A,Counties Manukau
31,853,427,2673,2031,WKO,G00027-C,Waikato
42,251,201,795,2042,LKS,G00028-E,Lakes
47,611,302,1774,2047,BOP,G00031-E,Bay of Plenty
51,143,153,407,2051,TRW,G00029-G,Tairawhiti
61,478,193,1347,3061,HWB,G00032-G,Hawke's Bay
71,360,93,962,2071,TKI,G00030-C,Taranaki
81,467,135,1291,3081,MWU,G00033-J,Midcentral
82,240,114,644,3082,WNI,G00035-B,Whanganui
91,570,105,1686,3091,CAP,G00036-D,Capital and Coast
92,333,92,987,3092,HUT,G00006-F,Hutt
93,137,42,416,3093,WRP,G00037-F,Wairarapa
101,424,41,1152,3101,NLM,G00038-H,Nelson Marlborough
111,95,11,256,4111,WCO,G00039-K,West Coast
121,1395,133,3771,4121,CTY,G00005-D,Canterbury
123,218,8,621,4123,SCY,G00025-K,South Canterbury
160,809,86,2439,4160,SRN,G02328-E,Southern
999,61,11,142,NA,NA,NA,NA
