RegionCode,RegionName,AvgOverallLifeSat,AvgControl,AvgCultureImportance,AvgSpiritualityImportance,AvgReligionImportance
01,Northland Region,7.846446012,7.988605534,3.505965293,3.118221258,2.622559653
02,Auckland Region,7.607669617,7.840707965,2.920588235,2.259803922,2.147058824
03,Waikato Region,7.846446012,7.988605534,3.505965293,3.118221258,2.622559653
04,Bay of Plenty Region,7.846446012,7.988605534,3.505965293,3.118221258,2.622559653
05,Gisborne Region,7.663026521,7.854134165,3.258768511,3.040530008,2.568978956
06,Hawke's Bay Region,7.663026521,7.854134165,3.258768511,3.040530008,2.568978956
07,Taranaki Region,7.663026521,7.854134165,3.258768511,3.040530008,2.568978956
08,Manawatu-Wanganui Region,7.663026521,7.854134165,3.258768511,3.040530008,2.568978956
09,Wellington Region,7.941463415,8.167479675,3.141463415,2.962601626,2.302439024
12,West Coast Region,7.607052897,7.697732997,2.73433584,2.436090226,2.030075188
13,Canterbury Region,7.71657754,7.884718499,2.903743316,2.810160428,2.237967914
14,Otago Region,7.607052897,7.697732997,2.73433584,2.436090226,2.030075188
15,Southland Region,7.607052897,7.697732997,2.73433584,2.436090226,2.030075188
16,Tasman Region,7.607052897,7.697732997,2.73433584,2.436090226,2.030075188
17,Nelson Region,7.607052897,7.697732997,2.73433584,2.436090226,2.030075188
18,Marlborough Region,7.607052897,7.697732997,2.73433584,2.436090226,2.030075188
