Rootstock	Weight	Propagated
I	760	cutting
I	821	cutting
I	928	cutting
I	1009	cutting
I	766	cutting
I	726	cutting
I	1209	cutting
I	785	cutting
II	1036	cutting
II	1094	cutting
II	1635	cutting
II	1517	cutting
II	1197	cutting
II	1244	cutting
II	1495	cutting
II	1026	cutting
III	912	cutting
III	1398	cutting
III	1197	cutting
III	1613	cutting
III	1476	cutting
III	1571	cutting
III	1506	cutting
III	1458	cutting
IV	944	cutting
IV	1241	cutting
IV	1023	cutting
IV	1067	cutting
IV	693	cutting
IV	1085	cutting
IV	1242	cutting
IV	1017	cutting
V	1084	cutting
V	1151	cutting
V	1381	cutting
V	1242	cutting
V	673	cutting
V	1137	cutting
V	1455	cutting
V	1325	cutting
VI	800	cutting
VI	606	cutting
VI	790	cutting
VI	853	cutting
VI	610	cutting
VI	562	cutting
VI	707	cutting
VI	952	cutting
VII	414	cutting
VII	335	cutting
VII	885	cutting
VII	1012	cutting
VII	489	cutting
VII	616	cutting
VII	788	cutting
VII	733	cutting
IX	375	cutting
IX	410	cutting
IX	335	cutting
IX	560	cutting
IX	251	cutting
IX	272	cutting
IX	478	cutting
IX	278	cutting
X	506	seed
X	882	seed
X	737	seed
X	772	seed
X	827	seed
X	821	seed
X	1149	seed
X	1035	seed
XII	1609	seed
XII	1658	seed
XII	1789	seed
XII	2375	seed
XII	1556	seed
XII	1418	seed
XII	2266	seed
XII	2508	seed
XIII	1052	seed
XIII	1167	seed
XIII	981	seed
XIII	944	seed
XIII	737	seed
XIII	1392	seed
XIII	1326	seed
XIII	1052	seed
XV	1258	seed
XV	1304	seed
XV	1290	seed
XV	1288	seed
XV	1176	seed
XV	1177	seed
XV	1331	seed
XV	1490	seed
XVI	1499	seed
XVI	1412	seed
XVI	1488	seed
XVI	1751	seed
XVI	1937	seed
XVI	1823	seed
XVI	1838	seed
XVI	1817	seed
