gender	picture	arousal
male	nude.m	10.5
male	nude.m	9.6
male	nude.m	9.8
male	nude.m	9.8
male	nude.m	10.3
male	nude.m	10.9
male	nude.m	11.2
male	nude.m	9.3
male	nude.m	10.7
male	nude.m	11.9
male	nude.m	9.9
male	nude.m	10.9
male	nude.m	8.6
male	nude.m	10.0
male	nude.m	11.3
male	nude.m	11.3
male	nude.m	12.6
male	nude.m	11.1
male	nude.m	10.6
male	nude.m	11.3
male	nude.f	26.2
male	nude.f	26.2
male	nude.f	24.2
male	nude.f	26.8
male	nude.f	24.5
male	nude.f	24.7
male	nude.f	24.4
male	nude.f	26.1
male	nude.f	26.9
male	nude.f	25.2
male	nude.f	25.5
male	nude.f	26.0
male	nude.f	25.5
male	nude.f	26.8
male	nude.f	23.6
male	nude.f	28.0
male	nude.f	27.0
male	nude.f	25.7
male	nude.f	25.8
male	nude.f	27.2
male	infant	8.3
male	infant	10.1
male	infant	9.2
male	infant	7.7
male	infant	9.3
male	infant	9.4
male	infant	8.4
male	infant	7.9
male	infant	8.0
male	infant	8.0
male	infant	10.3
male	infant	9.7
male	infant	6.4
male	infant	8.9
male	infant	9.6
male	infant	8.3
male	infant	10.4
male	infant	9.4
male	infant	10.9
male	infant	8.7
male	landscape	14.0
male	landscape	12.4
male	landscape	15.3
male	landscape	14.3
male	landscape	13.3
male	landscape	14.4
male	landscape	13.5
male	landscape	13.3
male	landscape	13.4
male	landscape	15.2
male	landscape	14.5
male	landscape	12.6
male	landscape	13.7
male	landscape	14.2
male	landscape	15.1
male	landscape	14.9
male	landscape	12.6
male	landscape	13.4
male	landscape	13.3
male	landscape	12.4
female	nude.m	22.4
female	nude.m	21.9
female	nude.m	22.3
female	nude.m	20.4
female	nude.m	21.0
female	nude.m	21.6
female	nude.m	20.9
female	nude.m	23.7
female	nude.m	21.6
female	nude.m	22.0
female	nude.m	21.2
female	nude.m	21.7
female	nude.m	21.2
female	nude.m	21.8
female	nude.m	21.4
female	nude.m	22.0
female	nude.m	21.4
female	nude.m	23.0
female	nude.m	23.7
female	nude.m	20.4
female	nude.f	8.4
female	nude.f	9.3
female	nude.f	10.1
female	nude.f	9.6
female	nude.f	9.2
female	nude.f	9.5
female	nude.f	8.9
female	nude.f	9.3
female	nude.f	7.8
female	nude.f	7.6
female	nude.f	8.1
female	nude.f	10.2
female	nude.f	7.6
female	nude.f	8.3
female	nude.f	9.7
female	nude.f	6.8
female	nude.f	10.3
female	nude.f	7.1
female	nude.f	8.9
female	nude.f	9.4
female	infant	21.5
female	infant	22.7
female	infant	22.0
female	infant	22.0
female	infant	21.8
female	infant	20.6
female	infant	21.6
female	infant	21.7
female	infant	22.8
female	infant	22.2
female	infant	22.4
female	infant	21.3
female	infant	22.1
female	infant	21.3
female	infant	22.3
female	infant	23.1
female	infant	24.4
female	infant	21.7
female	infant	22.8
female	infant	23.0
female	landscape	15.5
female	landscape	14.0
female	landscape	13.6
female	landscape	15.5
female	landscape	14.7
female	landscape	14.6
female	landscape	13.6
female	landscape	14.9
female	landscape	14.8
female	landscape	15.9
female	landscape	14.7
female	landscape	14.8
female	landscape	14.3
female	landscape	14.0
female	landscape	15.5
female	landscape	14.3
female	landscape	14.1
female	landscape	15.5
female	landscape	14.9
female	landscape	14.3
