ethnicity	married	bodyim	sm.ever	weight	height	age	stressgp
Maori	3	right	1	80	169	46	1
Pacific	1	slight.ow	3	79	169	61	1
Asian	4	slight.ow	3	70	156	55	1
Maori	1	slight.ow	2	67	156	61	1
Asian	1	right	3	59	152	48	1
Maori	3	mod.ow	1	81	167	45	2
Pacific	1	right	3	79	163	44	1
Maori	1	mod.ow	1	74	160	43	2
Pacific	1	right	2	93	187	45	1
Asian	1	slight.ow	3	67	161	42	1
Asian	4	slight.ow	3	67	157	40	1
Europn	2	slight.ow	3	59	158	42	3
Maori	1	slight.ow	2	53	144	52	1
Asian	1	very.ow	3	58	155	50	1
Maori	1	right	1	67	160	52	1
Europn	1	mod.ow	1	68	163	47	1
Asian	1	slight.ow	1	74	159	54	3
Maori	1	very.ow	1	84	169	46	2
Europn	1	slight.uw	1	71	170	42	1
Maori	2	mod.ow	3	75	162	40	2
Maori	1	slight.uw	1	49	146	48	1
Europn	1	mod.ow	3	76	164	53	1
Maori	1	very.ow	1	69	160	41	1
Europn	1	mod.ow	3	70	162	44	1
Europn	1	mod.ow	3	68	170	41	1
Europn	1	mod.ow	2	63	158	40	2
Europn	1	right	3	57	157	46	2
Asian	1	right	3	65	162	42	1
Europn	1	right	3	51	153	42	1
Asian	1	right	3	58	158	48	1
Asian	1	right	3	77	166	45	1
Asian	1	right	3	67	166	48	1
Europn	4	slight.ow	1	59	155	41	3
Pacific	4	slight.ow	3	63	151	49	3
Europn	1	right	1	57	154	52	1
Maori	1	mod.ow	1	78	170	38	1
Europn	1	slight.ow	3	59	163	38	2
Pacific	1	very.ow	3	87	171	46	3
Maori	1	right	3	59	157	48	1
Europn	4	mod.ow	3	65	155	53	4
Maori	4	very.ow	1	78	163	48	1
Pacific	1	mod.ow	1	68	161	49	2
Maori	1	slight.uw	1	63	169	43	1
Asian	1	mod.ow	3	65	148	53	1
Maori	1	slight.ow	3	61	151	41	1
Maori	4	mod.ow	3	62	160	53	1
Asian	1	slight.ow	3	77	162	49	1
Asian	1	slight.ow	1	70	157	57	1
Asian	1	slight.uw	3	67	163	46	1
Maori	1	right	1	73	165	52	1
Maori	1	right	1	76	161	51	2
Asian	1	right	3	68	160	48	1
Maori	4	right	1	66	158	49	2
Pacific	1	right	3	76	161	54	1
Maori	1	slight.ow	2	62	163	44	2
Pacific	1	right	3	71	159	43	1
Asian	1	right	3	54	154	53	1
Europn	1	slight.ow	2	62	163	40	2
Europn	4	slight.ow	3	69	157	64	1
Europn	1	slight.ow	3	72	166	51	2
Europn	1	mod.ow	2	71	175	45	1
Pacific	3	right	1	67	157	43	1
