length	book
9	Eye.Drag
21	Eye.Drag
14	Eye.Drag
65	Eye.Drag
6	Eye.Drag
13	Eye.Drag
21	Eye.Drag
28	Eye.Drag
9	Eye.Drag
13	Eye.Drag
19	Eye.Drag
18	Eye.Drag
21	Eye.Drag
23	Eye.Drag
11	Eye.Drag
30	Eye.Drag
7	Eye.Drag
16	Eye.Drag
7	Eye.Drag
34	Eye.Drag
32	Eye.Drag
6	Eye.Drag
5	Eye.Drag
16	Eye.Drag
12	Eye.Drag
36	Eye.Drag
29	Eye.Drag
9	Eye.Drag
12	Eye.Drag
46	Eye.Drag
11	Eye.Drag
17	Eye.Drag
13	Eye.Drag
3	Eye.Drag
6	Eye.Drag
9	Eye.Drag
17	Eye.Drag
10	Eye.Drag
6	Eye.Drag
19	Eye.Drag
2	Eye.Drag
27	Eye.Drag
8	Eye.Drag
5	Eye.Drag
27	Eye.Drag
10	Eye.Drag
14	Eye.Drag
11	Eye.Drag
6	Eye.Drag
23	Eye.Drag
12	T.Knock
18	T.Knock
15	T.Knock
4	T.Knock
3	T.Knock
16	T.Knock
11	T.Knock
21	T.Knock
5	T.Knock
17	T.Knock
26	T.Knock
8	T.Knock
5	T.Knock
5	T.Knock
7	T.Knock
10	T.Knock
3	T.Knock
9	T.Knock
5	T.Knock
17	T.Knock
21	T.Knock
11	T.Knock
19	T.Knock
23	T.Knock
17	T.Knock
5	T.Knock
3	T.Knock
11	T.Knock
39	T.Knock
24	T.Knock
19	T.Knock
19	T.Knock
11	T.Knock
14	T.Knock
20	T.Knock
32	T.Knock
19	T.Knock
7	T.Knock
9	T.Knock
17	T.Knock
18	T.Knock
25	T.Knock
16	T.Knock
12	T.Knock
25	T.Knock
50	T.Knock
4	T.Knock
38	T.Knock
23	T.Knock
68	T.Knock
15	Shining
9	Shining
2	Shining
24	Shining
18	Shining
22	Shining
4	Shining
14	Shining
18	Shining
4	Shining
12	Shining
4	Shining
9	Shining
13	Shining
8	Shining
20	Shining
10	Shining
21	Shining
31	Shining
3	Shining
22	Shining
12	Shining
11	Shining
13	Shining
8	Shining
9	Shining
8	Shining
9	Shining
11	Shining
21	Shining
23	Shining
7	Shining
9	Shining
10	Shining
10	Shining
18	Shining
22	Shining
7	Shining
22	Shining
31	Shining
18	Shining
23	Shining
13	Shining
18	Shining
8	Shining
3	Shining
4	Shining
11	Shining
7	Shining
7	Shining
30	Stand
22	Stand
3	Stand
17	Stand
14	Stand
52	Stand
8	Stand
3	Stand
9	Stand
15	Stand
30	Stand
14	Stand
21	Stand
19	Stand
9	Stand
8	Stand
3	Stand
23	Stand
26	Stand
9	Stand
13	Stand
17	Stand
14	Stand
26	Stand
27	Stand
29	Stand
9	Stand
15	Stand
13	Stand
33	Stand
4	Stand
27	Stand
18	Stand
10	Stand
9	Stand
29	Stand
10	Stand
54	Stand
12	Stand
32	Stand
26	Stand
8	Stand
32	Stand
22	Stand
17	Stand
18	Stand
11	Stand
23	Stand
11	Stand
3	Stand
16	Dark.Half
26	Dark.Half
5	Dark.Half
16	Dark.Half
19	Dark.Half
25	Dark.Half
13	Dark.Half
15	Dark.Half
51	Dark.Half
25	Dark.Half
26	Dark.Half
6	Dark.Half
12	Dark.Half
10	Dark.Half
49	Dark.Half
11	Dark.Half
20	Dark.Half
16	Dark.Half
4	Dark.Half
8	Dark.Half
5	Dark.Half
18	Dark.Half
27	Dark.Half
8	Dark.Half
13	Dark.Half
21	Dark.Half
16	Dark.Half
12	Dark.Half
13	Dark.Half
35	Dark.Half
4	Dark.Half
20	Dark.Half
22	Dark.Half
13	Dark.Half
8	Dark.Half
3	Dark.Half
6	Dark.Half
11	Dark.Half
13	Dark.Half
9	Dark.Half
9	Dark.Half
12	Dark.Half
7	Dark.Half
9	Dark.Half
22	Dark.Half
10	Dark.Half
4	Dark.Half
19	Dark.Half
14	Dark.Half
37	Dark.Half
14	4.Past.Mid
23	4.Past.Mid
18	4.Past.Mid
14	4.Past.Mid
15	4.Past.Mid
12	4.Past.Mid
10	4.Past.Mid
40	4.Past.Mid
6	4.Past.Mid
20	4.Past.Mid
13	4.Past.Mid
12	4.Past.Mid
16	4.Past.Mid
34	4.Past.Mid
16	4.Past.Mid
33	4.Past.Mid
39	4.Past.Mid
3	4.Past.Mid
3	4.Past.Mid
4	4.Past.Mid
23	4.Past.Mid
12	4.Past.Mid
18	4.Past.Mid
33	4.Past.Mid
42	4.Past.Mid
28	4.Past.Mid
7	4.Past.Mid
10	4.Past.Mid
8	4.Past.Mid
8	4.Past.Mid
20	4.Past.Mid
7	4.Past.Mid
23	4.Past.Mid
14	4.Past.Mid
7	4.Past.Mid
1	4.Past.Mid
34	4.Past.Mid
9	4.Past.Mid
6	4.Past.Mid
41	4.Past.Mid
14	4.Past.Mid
5	4.Past.Mid
21	4.Past.Mid
4	4.Past.Mid
15	4.Past.Mid
6	4.Past.Mid
16	4.Past.Mid
26	4.Past.Mid
20	4.Past.Mid
101	4.Past.Mid
8	Rising.Sun
8	Rising.Sun
20	Rising.Sun
4	Rising.Sun
7	Rising.Sun
12	Rising.Sun
11	Rising.Sun
5	Rising.Sun
6	Rising.Sun
11	Rising.Sun
8	Rising.Sun
3	Rising.Sun
6	Rising.Sun
5	Rising.Sun
5	Rising.Sun
6	Rising.Sun
5	Rising.Sun
13	Rising.Sun
7	Rising.Sun
3	Rising.Sun
4	Rising.Sun
22	Rising.Sun
16	Rising.Sun
5	Rising.Sun
17	Rising.Sun
15	Rising.Sun
7	Rising.Sun
6	Rising.Sun
11	Rising.Sun
3	Rising.Sun
5	Rising.Sun
6	Rising.Sun
2	Rising.Sun
5	Rising.Sun
6	Rising.Sun
13	Rising.Sun
28	Rising.Sun
8	Rising.Sun
6	Rising.Sun
7	Rising.Sun
2	Rising.Sun
28	Rising.Sun
6	Rising.Sun
1	Rising.Sun
2	Rising.Sun
4	Rising.Sun
2	Rising.Sun
5	Rising.Sun
12	Rising.Sun
2	Rising.Sun
5	Disclosure
13	Disclosure
4	Disclosure
5	Disclosure
3	Disclosure
1	Disclosure
10	Disclosure
8	Disclosure
6	Disclosure
12	Disclosure
14	Disclosure
4	Disclosure
4	Disclosure
15	Disclosure
11	Disclosure
2	Disclosure
7	Disclosure
4	Disclosure
39	Disclosure
6	Disclosure
14	Disclosure
5	Disclosure
4	Disclosure
7	Disclosure
8	Disclosure
7	Disclosure
9	Disclosure
9	Disclosure
7	Disclosure
5	Disclosure
6	Disclosure
4	Disclosure
6	Disclosure
3	Disclosure
8	Disclosure
8	Disclosure
7	Disclosure
12	Disclosure
7	Disclosure
5	Disclosure
4	Disclosure
4	Disclosure
5	Disclosure
4	Disclosure
3	Disclosure
10	Disclosure
13	Disclosure
5	Disclosure
1	Disclosure
2	Disclosure
