decile	pass.rate
1	7.7
1	16.7
1	45.5
1	22.2
1	14.3
1	0
1	16.7
2	29.4
2	11.1
2	13
2	29.6
2	43.8
2	60
2	33.4
3	63.1
3	80
3	67.8
3	74.7
3	50
3	58.1
3	25
3	50
4	79.6
4	46.1
4	66.7
4	76
4	55.7
4	62.5
4	72.2
4	38.9
4	55.5
4	72.7
5	64.1
5	50
5	46.9
5	65.9
5	67
5	46.7
5	72.2
6	79.7
6	79
6	77.6
6	68.5
6	86.7
6	79.3
7	73.8
7	70.8
7	82.5
8	66.7
8	61.5
8	83.4
8	85.2
8	58.3
9	82.8
9	88.1
10	82.9
10	87.5
10	83.3
10	93.2
10	85.3
10	79.2
10	92.1
10	86
10	70.2
10	87.6
10	91.7
10	71.2
10	81.4
10	78
10	95.3
10	82.2
10	83.7
10	95.7
10	80
10	81.9
