Butterfat	Breed	Age
3.74	ayrshire	mature
4.01	ayrshire	mature
3.77	ayrshire	mature
3.78	ayrshire	mature
4.10	ayrshire	mature
4.06	ayrshire	mature
4.27	ayrshire	mature
3.94	ayrshire	mature
4.11	ayrshire	mature
4.25	ayrshire	mature
4.44	ayrshire	2yo
4.37	ayrshire	2yo
4.25	ayrshire	2yo
3.71	ayrshire	2yo
4.08	ayrshire	2yo
3.90	ayrshire	2yo
4.41	ayrshire	2yo
4.11	ayrshire	2yo
4.37	ayrshire	2yo
3.53	ayrshire	2yo
3.92	canadian	mature
4.95	canadian	mature
4.47	canadian	mature
4.28	canadian	mature
4.07	canadian	mature
4.10	canadian	mature
4.38	canadian	mature
3.98	canadian	mature
4.46	canadian	mature
5.05	canadian	mature
4.29	canadian	2yo
5.52	canadian	2yo
4.43	canadian	2yo
4.00	canadian	2yo
4.62	canadian	2yo
4.29	canadian	2yo
4.85	canadian	2yo
4.66	canadian	2yo
4.40	canadian	2yo
4.33	canadian	2yo
4.54	guernesy	mature
5.18	guernesy	mature
5.75	guernesy	mature
5.04	guernesy	mature
4.64	guernesy	mature
4.79	guernesy	mature
4.72	guernesy	mature
3.88	guernesy	mature
5.28	guernesy	mature
4.66	guernesy	mature
5.30	guernesy	2yo
4.50	guernesy	2yo
4.59	guernesy	2yo
5.04	guernesy	2yo
4.83	guernesy	2yo
4.55	guernesy	2yo
4.97	guernesy	2yo
5.38	guernesy	2yo
5.39	guernesy	2yo
5.97	guernesy	2yo
3.40	holst.fres	mature
3.55	holst.fres	mature
3.83	holst.fres	mature
3.95	holst.fres	mature
4.43	holst.fres	mature
3.70	holst.fres	mature
3.30	holst.fres	mature
3.93	holst.fres	mature
3.58	holst.fres	mature
3.54	holst.fres	mature
3.79	holst.fres	2yo
3.66	holst.fres	2yo
3.58	holst.fres	2yo
3.38	holst.fres	2yo
3.71	holst.fres	2yo
3.94	holst.fres	2yo
3.59	holst.fres	2yo
3.55	holst.fres	2yo
3.55	holst.fres	2yo
3.43	holst.fres	2yo
4.80	jersey	mature
6.45	jersey	mature
5.18	jersey	mature
4.49	jersey	mature
5.24	jersey	mature
5.70	jersey	mature
5.41	jersey	mature
4.77	jersey	mature
5.18	jersey	mature
5.23	jersey	mature
5.75	jersey	2yo
5.14	jersey	2yo
5.25	jersey	2yo
4.76	jersey	2yo
5.18	jersey	2yo
4.22	jersey	2yo
5.98	jersey	2yo
4.85	jersey	2yo
6.55	jersey	2yo
5.72	jersey	2yo
