Age	Scale.Radius	Length
5	2.5388	160
4	1.791	130
5	2.88673	140
4	2.05391	130
4	2.1987	130
5	2.22434	140
7	2.53868	170
4	2.59566	150
4	1.68293	130
4	2.32455	140
5	2.70714	160
5	2.29725	140
4	2.26859	140
5	2.59289	160
4	2.12666	140
4	2.20377	130
5	3.14684	150
4	2.34561	130
3	1.68741	120
4	2.51823	130
5	2.8703	160
6	2.94802	180
6	3.10839	180
5	3.39548	170
1	1.38768	81
2	1.76145	97
2	1.88736	97
2	1.92727	102
2	1.8698	102
2	1.6378	104
2	1.85618	112
2	1.8413	112
2	1.83661	119
3	2.1003	122
3	2.18675	124
3	2.20111	127
4	2.23716	127
5	2.65555	132
5	2.55666	132
4	2.54618	137
4	2.7703	142
4	3.06095	145
5	2.73968	147
5	2.6985	147
5	2.93909	152
5	2.839	152
5	2.9723	155
5	2.79205	157
5	2.79859	160
6	3.25364	168
5	2.72511	168
6	2.4127	170
6	3.29402	170
5	3.28745	170
6	3.06602	172
5	3.12907	170
6	3.54607	180
4	2.31484	140
5	2.8195	170
5	2.77789	150
5	2.655	170
5	2.79148	170
1	1.29638	78
1	1.47898	84
7	3.12846	182
7	3.04629	179
