Density	Lab	Chalk
0.851	1	A
0.851	1	A
0.851	1	A
0.863	2	A
0.866	2	A
0.86	2	A
0.854	3	A
0.854	3	A
0.854	3	A
0.863	4	A
0.869	4	A
0.869	4	A
0.869	5	A
0.872	5	A
0.872	5	A
0.875	6	A
0.869	6	A
0.872	6	A
0.845	7	A
0.857	7	A
0.851	7	A
0.869	8	A
0.869	8	A
0.872	8	A
0.857	9	A
0.857	9	A
0.857	9	A
0.869	10	A
0.881	10	A
0.875	10	A
0.881	11	A
0.881	11	A
0.881	11	A
0.681	1	B
0.686	1	B
0.683	1	B
0.69	2	B
0.69	2	B
0.695	2	B
0.686	3	B
0.686	3	B
0.687	3	B
0.69	4	B
0.69	4	B
0.69	4	B
0.699	5	B
0.703	5	B
0.699	5	B
0.686	6	B
0.69	6	B
0.686	6	B
0.672	7	B
0.672	7	B
0.681	7	B
0.699	8	B
0.695	8	B
0.695	8	B
0.681	9	B
0.681	9	B
0.681	9	B
0.695	10	B
0.69	10	B
0.69	10	B
0.708	11	B
0.708	11	B
0.708	11	B
