Grade	Pass	Exam	Degree	Gender	Attend	Assign	Test	B	C	MC	Colour	Stage1	Years.Since	Repeat
C	Yes	42	BSc	Male	Yes	17.2	9.1	5	13	12	Blue  	C	2.5	Yes
B	Yes	58	BCom	Female	Yes	17.2	13.6	12	12	17	Yellow	A	2	No
A	Yes	81	Other	Female	Yes	17.2	14.5	14	17	25	Blue  	A	3	No
A	Yes	86	Other	Female	Yes	19.6	19.1	15	17	27	Yellow	A	0	No
D	No	35	Other	Male	No	8	8.2	4	1	15	Blue  	C	3	No
A	Yes	72	BCom	Female	Yes	18.4	12.7	15	17	20	Blue  	A	1.5	No
D	No	42	BSc	Female	Yes	14.4	7.3	4	14	12	Green 	C	0.5	No
D	No	25	BA	Male	No	8.8	10.9	3	0	11	Yellow	C	1.5	No
C	Yes	36	BCom	Female	Yes	17.6	10.9	10	4	11	Green 	B	2.5	No
C	Yes	48	BCom	Female	Yes	12	9.1	8	8	16	Pink  	B	4	No
D	No	29	BSc	Female	No	12.4	9.1	5	12	6	Pink  	C	1.5	Yes
B	Yes	54	BSc	Female	Yes	18	14.5	10	12	16	Yellow	A	1	No
C	Yes	49	BSc	Female	No	18	11.8	9	12	14	Pink  	C	1	Yes
C	Yes	52	Other	Female	No	12	15.5	8	14	15	Yellow	B	0	No
D	No	28	BCom	Female	No	16.4	10	11	7	5	Pink  	B	2.5	Yes
D	No	34	BCom	Female	Yes	16	7.3	6	4	12	Yellow	B	0.5	No
D	No	51	BCom	Male	Yes	5.6	10	7	8	18	Green 	A	3.5	No
A	Yes	81	BCom	Male	No	16.8	17.3	13	16	26	Yellow	A	2.5	No
A	Yes	80	BA	Female	Yes	16.4	15.5	16	16	24	Green 	A	0	No
C	Yes	41	BCom	Male	Yes	13.6	10.9	9	12	10	Blue  	B	2.5	No
A	Yes	77	BSc	Female	No	16.4	12.7	15	18	22	Green 	A	0.5	No
D	No	32	BSc	Female	No	8	10	8	4	10	Blue  	C	1	No
