Exam	Gender	Attend
44	Female	No
89	Female	No
49	Female	No
57	Female	No
30	Female	No
77	Female	No
31	Female	No
44	Female	No
54	Female	No
28	Female	No
72	Male	No
32	Male	No
41	Male	No
42	Male	No
51	Male	No
30	Male	No
72	Male	No
35	Male	No
18	Male	No
55	Male	No
83	Female	Yes
74	Female	Yes
27	Female	Yes
56	Female	Yes
58	Female	Yes
72	Female	Yes
72	Female	Yes
62	Female	Yes
60	Female	Yes
84	Female	Yes
69	Male	Yes
25	Male	Yes
61	Male	Yes
48	Male	Yes
45	Male	Yes
77	Male	Yes
44	Male	Yes
42	Male	Yes
51	Male	Yes
75	Male	Yes
