fecundity	strain
12.8	RS
21.6	RS
14.8	RS
23.1	RS
34.6	RS
19.7	RS
22.6	RS
29.6	RS
16.4	RS
20.3	RS
29.3	RS
14.9	RS
27.3	RS
22.4	RS
27.5	RS
20.3	RS
38.7	RS
26.4	RS
23.7	RS
26.1	RS
29.5	RS
38.6	RS
44.4	RS
23.2	RS
23.6	RS
38.4	SS
32.9	SS
48.5	SS
20.9	SS
11.6	SS
22.3	SS
30.2	SS
33.4	SS
26.7	SS
39	SS
12.8	SS
14.6	SS
12.2	SS
23.1	SS
29.4	SS
16	SS
20.1	SS
23.3	SS
22.9	SS
22.5	SS
15.1	SS
31	SS
16.9	SS
16.1	SS
10.8	SS
35.4	NS
27.4	NS
19.3	NS
41.8	NS
20.3	NS
37.6	NS
36.9	NS
37.3	NS
28.2	NS
23.4	NS
33.7	NS
29.2	NS
41.7	NS
22.6	NS
40.4	NS
34.4	NS
30.4	NS
14.9	NS
51.8	NS
33.8	NS
37.9	NS
29.5	NS
42.4	NS
36.6	NS
47.4	NS
