advertised.price	sell.price
104000	90000
196000	183000
201000	173500
301000	262500
277000	241500
316000	275500
132000	114500
174000	153000
230000	202000
205000	177000
143000	126500
71000	66000
167000	142500
161000	140000
155000	133500
230000	200000
266000	241500
311000	258500
78000	68500
357000	326500
276000	233000
219000	191500
139000	121500
276000	250500
155000	129000
196000	180000
196000	165000
104000	85000
230000	195000
196000	171500
155000	136000
127000	107500
276000	243500
362000	305500
132000	121500
200000	175500
348000	306500
190000	163500
87000	76500
242000	218500
246000	211000
93000	87500
230000	203500
150000	132500
145000	126000
150000	133000
276000	246000
120000	106500
161000	149500
138000	118000
122000	103000
190000	170500
93000	77000
230000	202000
345000	327000
92000	80500
161000	138000
161000	145500
155000	127000
276000	239000
86000	75500
220000	186500
230000	201000
230000	189000
259000	227000
259000	237500
350000	321000
170000	149000
230000	199500
98000	85500
187000	167500
239000	221500
224000	200000
281000	236500
345000	296000
104000	92000
196000	171000
217000	180500
89000	79000
86000	73500
146000	125000
144000	131500
144000	128500
190000	156500
311000	272500
109000	99500
108000	99000
288000	261000
178000	156000
117000	102500
108000	95500
339000	295000
374000	319500
332000	308000
167000	141000
223000	195500
170000	152000
230000	200500
98000	84500
187000	159000
