year	price
79	2950
82	5900
83	2999
88	11950
82	6100
90	26500
82	6850
81	5490
86	12999
82	9900
89	19900
80	3990
73	800
81	3900
79	7000
80	2750
85	11000
87	9650
84	7500
89	26500
73	1990
84	7000
78	3500
85	6990
90	39990
87	29990
90	29990
89	25990
88	21990
88	19990
86	6000
82	5999
81	5990
88	12500
85	14000
90	20500
79	4250
80	4500
85	7750
71	950
79	4300
74	2300
86	9490
84	8900
80	3000
83	6500
79	8000
73	1450
87	14150
77	1950
76	1800
88	18000
88	16350
78	1690
81	3490
89	26000
79	4000
81	5490
86	7900
82	10500
76	799
81	4200
81	5500
79	2600
81	5100
81	4000
77	4500
78	2600
75	2400
80	4900
87	14950
83	8900
85	13490
84	5490
84	12999
88	21500
79	4200
82	4200
84	10500
84	10800
84	8600
83	8950
86	7900
79	3700
91	25600
84	11000
86	8700
80	3800
89	10950
83	6450
86	9450
76	2950
86	10500
84	8000
79	4600
83	4975
87	18950
85	10000
90	30000
82	4000
87	7650
76	2695
86	12490
89	36900
88	18000
89	27900
90	22950
91	23900
86	11900
84	9800
89	20980
74	5000
82	10980
80	2800
90	24500
82	10995
79	7879
82	6990
77	1498
88	17900
86	9990
91	13990
89	9990
