Month	Year	mening
Jan	1990	4
Feb	1990	2
Mar	1990	3
Apr	1990	5
May	1990	3
Jun	1990	3
Jul	1990	3
Aug	1990	11
Sep	1990	6
Oct	1990	3
Nov	1990	6
Dec	1990	4
Jan	1991	3
Feb	1991	3
Mar	1991	2
Apr	1991	2
May	1991	5
Jun	1991	3
Jul	1991	6
Aug	1991	19
Sep	1991	8
Oct	1991	11
Nov	1991	9
Dec	1991	6
Jan	1992	11
Feb	1992	9
Mar	1992	8
Apr	1992	7
May	1992	8
Jun	1992	21
Jul	1992	23
Aug	1992	20
Sep	1992	14
Oct	1992	16
Nov	1992	10
Dec	1992	7
Jan	1993	13
Feb	1993	9
Mar	1993	7
Apr	1993	12
May	1993	19
Jun	1993	17
Jul	1993	24
Aug	1993	23
Sep	1993	24
Oct	1993	19
Nov	1993	10
Dec	1993	15
Jan	1994	6
Feb	1994	10
Mar	1994	6
Apr	1994	9
May	1994	11
Jun	1994	10
Jul	1994	27
Aug	1994	40
Sep	1994	31
Oct	1994	29
Nov	1994	14
Dec	1994	14
Jan	1995	12
Feb	1995	5
Mar	1995	11
Apr	1995	16
May	1995	27
Jun	1995	18
Jul	1995	43
Aug	1995	87
Sep	1995	60
Oct	1995	43
Nov	1995	36
Dec	1995	34
Jan	1996	22
Feb	1996	14
Mar	1996	18
Apr	1996	33
May	1996	20
Jun	1996	38
Jul	1996	85
Aug	1996	66
Sep	1996	78
Oct	1996	43
Nov	1996	36
Dec	1996	22
Jan	1997	23
Feb	1997	18
Mar	1997	19
Apr	1997	36
May	1997	39
Jun	1997	50
Jul	1997	91
Aug	1997	103
Sep	1997	82
Oct	1997	54
Nov	1997	44
Dec	1997	54
Jan	1998	36
Feb	1998	22
Mar	1998	26
Apr	1998	26
May	1998	32
Jun	1998	70
Jul	1998	61
Aug	1998	50
Sep	1998	42
Oct	1998	26
Nov	1998	33
Dec	1998	35
Jan	1999	22
Feb	1999	26
Mar	1999	22
Apr	1999	26
May	1999	29
Jun	1999	45
Jul	1999	69
Aug	1999	85
Sep	1999	56
Oct	1999	49
Nov	1999	37
Dec	1999	38
Jan	2000	25
Feb	2000	22
Mar	2000	23
Apr	2000	36
May	2000	39
Jun	2000	54
Jul	2000	55
Aug	2000	43
Sep	2000	59
Oct	2000	55
Nov	2000	24
Dec	2000	45
Jan	2001	46
Feb	2001	18
Mar	2001	50
Apr	2001	28
May	2001	44
Jun	2001	61
Jul	2001	82
Aug	2001	69
Sep	2001	63
Oct	2001	72
Nov	2001	64
Dec	2001	53
