Period	Movement	Time
Late	M1	349
Late	M1	247
Late	M1	279
Late	M1	311
Late	M1	443
Late	M1	422
Late	M1	443
Late	M1	331
Late	M1	638
Late	M1	852
Late	M1	463
Late	M2	227
Late	M2	312
Late	M2	350
Late	M2	308
Late	M2	523
Late	M2	534
Late	M2	424
Late	M2	545
Late	M2	492
Late	M2	470
Late	M2	493
Late	M3	225
Late	M3	338
Late	M3	219
Late	M3	185
Late	M3	240
Late	M3	212
Late	M3	175
Late	M3	214
Late	M3	358
Late	M3	239
Late	M3	270
Late	M4	251
Late	M4	281
Late	M4	216
Late	M4	299
Late	M4	212
Late	M4	393
Late	M4	237
Late	M4	479
Late	M4	336
Late	M4	402
Late	M4	388
Early	M1	157
Early	M1	202
Early	M1	193
Early	M1	140
Early	M1	124
Early	M1	322
Early	M1	194
Early	M1	150
Early	M1	167
Early	M1	160
Early	M1	189
Early	M2	184
Early	M2	212
Early	M2	208
Early	M2	186
Early	M2	196
Early	M2	258
Early	M2	153
Early	M2	248
Early	M2	255
Early	M2	287
Early	M2	175
Early	M3	139
Early	M3	219
Early	M3	177
Early	M3	167
Early	M3	228
Early	M3	122
Early	M3	228
Early	M3	149
Early	M3	197
Early	M3	236
Early	M3	251
Early	M4	135
Early	M4	174
Early	M4	138
Early	M4	135
Early	M4	202
Early	M4	129
Early	M4	177
Early	M4	133
Early	M4	169
Early	M4	456
Early	M4	249
