polish	dry
Regular	63
Regular	79
Regular	77
Regular	74
Regular	95
Regular	93
Regular	102
Regular	71
Regular	116
Regular	71
Regular	84
Regular	61
Regular	81
Regular	72
Regular	76
Regular	74
Regular	95
Regular	91
Regular	80
Regular	94
Regular	85
Regular	80
Regular	87
Regular	88
Regular	95
Regular	89
Regular	85
Regular	90
Regular	73
Regular	65
Quick	49
Quick	62
Quick	64
Quick	56
Quick	38
Quick	57
Quick	65
Quick	75
Quick	44
Quick	59
Quick	63
Quick	58
Quick	43
Quick	40
Quick	54
Quick	56
Quick	59
Quick	51
Quick	58
Quick	63
Quick	47
Quick	58
Quick	57
Quick	56
Quick	58
Quick	70
Quick	55
Quick	56
Quick	58
Quick	44

