Site	Oysters
GR	25
GR	24
GR	25
GR	14
GR	23
GR	24
GR	24
GR	25
GR	43
GR	24
GR	30
GR	21
GR	55
GR	33
GR	27
GR	18
GR	38
GR	30
GR	35
GR	23
GR	30
GR	34
GR	42
GR	32
GR	58
GR	40
GR	48
GR	36
GR	39
GR	38
GR	48
PS1	72
PS1	118
PS1	48
PS1	103
PS1	81
PS1	107
PS1	80
PS1	91
PS1	94
PS1	104
PS1	132
PS1	137
PS1	88
PS1	96
PS1	86
PS1	108
PS1	73
PS1	91
PS1	111
PS1	126
PS1	74
PS1	67
PS1	65
PS1	103
PS2	115
PS2	99
PS2	54
PS2	87
PS2	100
PS2	105
PS2	110
PS2	91
PS2	87
PS2	109
PS2	123
PS2	80
PS2	70
PS2	145
PS2	120
PS2	93
PS2	93
PS2	77
PS2	97
PS2	102
PS2	64
PS2	66
PS2	57
PS2	51
PS2	111
PS2	103
PS2	88
PS2	100
PS2	123
PS2	107
PS2	108
PS2	94
