rain	seed
130	seeded
430	seeded
2746	seeded
489	seeded
32	seeded
303	seeded
119	seeded
4	seeded
92	seeded
18	seeded
201	seeded
275	seeded
275	seeded
1656	seeded
978	seeded
8	seeded
1989	seeded
703	seeded
1698	seeded
334	seeded
118	seeded
255	seeded
115	seeded
243	seeded
26	unseeded
26	unseeded
87	unseeded
95	unseeded
342	unseeded
1	unseeded
17	unseeded
24	unseeded
12	unseeded
321	unseeded
69	unseeded
82	unseeded
47	unseeded
289	unseeded
830	unseeded
346	unseeded
1203	unseeded
37	unseeded
5	unseeded
5	unseeded
41	unseeded
29	unseeded
163	unseeded
244	unseeded
148	unseeded
22	unseeded
