Weight	Copper	Cobalt
18	No	No
17	No	No
34	No	No
12	No	No
8	No	No
9	No	No
22	No	No
14	No	No
20	No	No
14	No	No
14	No	No
22	No	No
21	No	No
21	No	No
13	No	No
6	No	No
26	No	No
17	No	No
14	No	No
26	No	No
22	No	No
14	No	No
16	No	No
18	No	No
16	No	No
13	Yes	No
20	Yes	No
12	Yes	No
18	Yes	No
16	Yes	No
19	Yes	No
15	Yes	No
14	Yes	No
6	Yes	No
20	Yes	No
25	Yes	No
18	Yes	No
11	Yes	No
18	Yes	No
18	Yes	No
15	Yes	No
14	Yes	No
17	Yes	No
18	Yes	No
7	Yes	No
8	Yes	No
18	Yes	No
22	Yes	No
22	Yes	No
29	Yes	No
18	No	Yes
25	No	Yes
18	No	Yes
22	No	Yes
28	No	Yes
20	No	Yes
22	No	Yes
17	No	Yes
14	No	Yes
22	No	Yes
27	No	Yes
24	No	Yes
23	No	Yes
18	No	Yes
28	No	Yes
25	No	Yes
16	No	Yes
20	No	Yes
19	No	Yes
26	No	Yes
20	No	Yes
19	No	Yes
21	No	Yes
13	No	Yes
14	No	Yes
19	Yes	Yes
13	Yes	Yes
22	Yes	Yes
22	Yes	Yes
22	Yes	Yes
20	Yes	Yes
23	Yes	Yes
23	Yes	Yes
26	Yes	Yes
21	Yes	Yes
4	Yes	Yes
20	Yes	Yes
20	Yes	Yes
16	Yes	Yes
15	Yes	Yes
20	Yes	Yes
12	Yes	Yes
10	Yes	Yes
24	Yes	Yes
22	Yes	Yes
22	Yes	Yes
16	Yes	Yes
19	Yes	Yes
2	Yes	Yes
20	Yes	Yes
