measurement	year
131	-4000
125	-4000
131	-4000
119	-4000
136	-4000
138	-4000
139	-4000
125	-4000
131	-4000
134	-4000
129	-4000
134	-4000
126	-4000
132	-4000
141	-4000
131	-4000
135	-4000
132	-4000
139	-4000
132	-4000
126	-4000
135	-4000
134	-4000
128	-4000
130	-4000
138	-4000
128	-4000
127	-4000
131	-4000
124	-4000
124	-3300
133	-3300
138	-3300
148	-3300
126	-3300
135	-3300
132	-3300
133	-3300
131	-3300
133	-3300
133	-3300
131	-3300
131	-3300
138	-3300
130	-3300
131	-3300
138	-3300
123	-3300
130	-3300
134	-3300
137	-3300
126	-3300
135	-3300
129	-3300
134	-3300
131	-3300
132	-3300
130	-3300
135	-3300
130	-3300
137	-1850
129	-1850
132	-1850
130	-1850
134	-1850
140	-1850
138	-1850
136	-1850
136	-1850
126	-1850
137	-1850
137	-1850
136	-1850
137	-1850
129	-1850
135	-1850
129	-1850
134	-1850
138	-1850
136	-1850
132	-1850
133	-1850
138	-1850
130	-1850
136	-1850
134	-1850
136	-1850
133	-1850
138	-1850
138	-1850
137	-200
141	-200
141	-200
135	-200
133	-200
131	-200
140	-200
139	-200
140	-200
138	-200
132	-200
134	-200
135	-200
133	-200
136	-200
134	-200
131	-200
129	-200
136	-200
131	-200
139	-200
144	-200
141	-200
130	-200
133	-200
138	-200
131	-200
136	-200
132	-200
135	-200
137	150
136	150
128	150
130	150
138	150
126	150
136	150
126	150
132	150
139	150
143	150
141	150
135	150
137	150
142	150
139	150
138	150
137	150
133	150
145	150
138	150
131	150
143	150
134	150
132	150
137	150
129	150
140	150
147	150
136	150

