cultivar	planttime	yield
cult1	Decemb	15.4
cult1	Decemb	16.9
cult1	Decemb	16.4
cult1	Decemb	15.9
cult1	Novemb	16.6
cult1	Novemb	16.6
cult1	Novemb	9.9
cult1	Novemb	11.9
cult2	Decemb	14.7
cult2	Decemb	16.6
cult2	Decemb	12.8
cult2	Decemb	13.2
cult2	Novemb	12.8
cult2	Novemb	12.3
cult2	Novemb	12.3
cult2	Novemb	12.8
cult3	Decemb	21.4
cult3	Decemb	13.4
cult3	Decemb	20.1
cult3	Decemb	19.9
cult3	Novemb	17.4
cult3	Novemb	17.3
cult3	Novemb	9.7
cult3	Novemb	13.9
cult4	Decemb	14.9
cult4	Decemb	13.3
cult4	Decemb	15.7
cult4	Decemb	13.6
cult4	Novemb	14.2
cult4	Novemb	13.3
cult4	Novemb	8.5
cult4	Novemb	10.4
