salary	yrs.empl	prior.yrs	educ	id	gender	dept	super
38985	18	7	9	412	0	1	5
32920	15	3	9	458	1	1	4
29548	5	6	1	604	0	1	0
24749	6	2	0	598	1	1	1
41889	22	16	7	351	0	1	7
31528	3	11	3	674	0	1	6
38791	21	4	5	356	0	1	9
39828	18	6	5	415	1	1	5
28985	0	1	4	693	1	1	4
32782	0	1	7	694	0	1	0
43674	6	9	4	625	0	2	2
35467	3	6	6	354	1	2	3
29876	2	0	3	268	1	2	5
36431	9	4	4	984	1	2	2
56326	12	3	8	651	0	2	6
36571	6	1	4	359	0	2	2
35468	9	5	4	647	1	2	5
26578	0	6	2	845	1	2	2
47536	15	5	6	972	0	3	4
23654	0	0	0	539	1	3	2
37548	19	9	4	649	0	3	6
36578	4	4	8	824	0	3	8
54679	20	3	6	649	1	3	4
53234	25	0	6	624	0	3	3
31425	7	6	5	891	1	3	6
39743	9	6	5	974	1	4	1
26452	1	3	2	648	1	4	0
34632	5	4	4	321	0	4	0
35631	6	4	4	264	0	4	2
46211	14	5	6	291	1	4	5
34231	6	2	6	267	0	4	3
26548	5	1	0	548	0	4	2
36512	6	6	4	555	1	4	2
34869	7	5	4	366	1	4	1
41255	9	4	6	246	0	4	4
39331	9	3	6	215	1	4	1
35487	8	2	2	814	1	4	2
36487	6	5	2	212	0	4	3
68425	25	2	12	526	0	4	1
69246	22	3	10	778	0	4	45
65487	27	0	12	486	1	4	44
48695	6	19	8	913	0	4	40
51698	18	6	6	679	0	4	1
46184	20	3	4	602	0	4	1
34987	9	6	2	359	1	4	3
54899	12	5	8	675	1	4	0
