time    attendance      sun.yesterday   nice.day        day.type        tv.ads
8       1374    10.8    0       3       1.181
9       1940    4.4     1       3       1.146
10      1842    5.6     1       3       1.110
11      1495    10.4    1       3       1.060
12      1222    10      0       3       1.060
13      1123    3.1     0       2       0.886
14      1697    0.8     0       2       0.886
15      1190    0       1       3       0.843
16      189     8.6     0       3       0.700
17      1146    0       0       3       0.593
18      1058    4.4     0       3       0.393
19      1283    1       0       3       0.500
20      791     3.3     0       2       0.714
21      2113    0       1       2       0.714
22      928     6.3     0       3       0.429
23      1105    0       0       3       0.429
24      1090    0       1       3       0.429
25      1149    10.8    1       3       0.429
26      885     13      1       3       0.214
27      1111    11.5    1       2       0.000
28      1426    11.6    0       2       0.000
29      1486    0       0       4       0.000
30      182     0.1     0       3       0.000
31      749     0       1       3       0.000
32      1042    6.8     1       3       0.000
33      704     8.6     1       3       0.000
34      894     9.2     1       2       0.000
35      1141    11.4    1       2       0.000
36      841     12.1    1       3       0.000
37      1763    6.3     1       4       0.000
38      225     13      1       1       0.000
39      272     10.2    1       1       0.000
40      248     10.3    1       1       0.000
41      499     9.2     1       2       0.000
42      856     10      1       2       0.000
43      322     8.3     1       1       0.000
44      286     11.6    1       1       0.000
45      269     5.4     1       1       0.000
46      239     6.9     1       1       0.000
47      249     10.5    1       1       0.000
48      814     9.5     1       2       0.000
49      1107    12.4    1       2       0.000
50      274     9       1       1       0.000
51      266     11.6    0       1       0.464
52      323     4.9     1       1       0.893
53      325     11      1       1       0.893
54      280     8       1       1       1.179
55      725     8.2     1       2       1.179
56      1250    11.2    1       2       1.357
57      200     9.4     1       1       1.357
58      256     6.5     1       1       1.393
59      367     6       1       1       0.993
60      335     7.3     1       1       1.007
61      305     10.7    0       1       1.007
62      1062    3.8     0       2       1.293
63      1414    5       0       2       1.364
64      270     3.8     1       1       1.364
65      285     8.8     0       1       0.864
66      376     3.4     1       1       0.836
67      369     9.2     1       1       0.821
68      34      5.4     0       1       0.536
69      499     0       0       2       0.250
70      1037    0       0       2       0.000
71      288     1.4     1       1       0.000
72      217     9.1     0       1       0.000
73      126     2.5     0       1       0.000
74      270     0       0       1       0.000
75      234     2.8     0       1       0.000
76      922     0.2     0       2       0.000
77      1771    3.1     1       2       0.000
78      274     6.5     0       1       0.000
79      252     0.2     1       1       0.000
80      453     7.9     1       1       0.000
81      257     11.1    1       1       0.000
82      305     9.5     1       1       0.000
83      1258    10.8    1       2       0.000
84      1345    11      0       2       0.000
85      247     2.5     1       1       0.000
86      268     10.8    1       1       0.000
87      390     10.8    1       1       0.000
88      280     10.6    1       1       0.000
89      324     5.5     0       1       0.000
90      1296    4.8     1       2       0.000
91      1639    7.6     1       2       0.000
92      199     9.6     1       1       0.000
93      252     8.1     1       1       0.000
94      187     9.9     1       1       0.000
95      251     7.7     1       1       0.000
96      280     10.1    1       1       0.000
97      750     9.6     1       2       0.000
98      1064    9.6     0       2       0.000
99      97      0.7     0       1       0.464
100     148     0.5     0       1       0.464
101     286     0       0       1       0.786
102     308     2.8     0       1       1.179
103     2181    2.1     1       4       1.536
104     1750    7.9     0       2       1.536
105     1963    2.2     0       2       1.536
106     2522    0.1     0       4       1.071
107     629     1.1     1       1       1.071
108     162     6.4     1       1       0.750
109     243     5.5     1       1       0.357
110     224     5.1     0       1       0.000
111     573     4.1     1       2       0.000
112     1529    7.1     1       2       0.000
113     225     8.2     0       1       0.000
114     25      0.1     0       1       0.000
115     1628    0.7     1       4       0.000
116     300     6.2     1       1       0.000
117     275     5.8     1       1       0.000
118     414     7.6     0       2       0.000
119     1124    1.4     1       2       0.000
120     129     6.7     1       1       0.000
121     78      5.7     0       1       0.000
122     170     1.4     0       1       0.000
123     173     3       1       1       0.000
124     103     5.2     0       1       0.000
125     675     4.4     1       2       0.000
126     1369    7.5     0       2       0.000
127     586     4       0       3       0.450
128     1277    1.7     1       3       0.450
129     1369    7       1       3       1.003
130     1897    6       1       3       1.041
131     1418    8       1       3       1.331
132     1422    5.7     0       2       1.331
133     1917    0.6     0       2       1.331
134     1089    0       0       3       0.881
135     1032    3.9     0       3       0.881
136     1468    1       1       3       0.328
137     1427    5.4     1       3       0.289
138     1453    6.8     1       3       0.000
139     1056    6.2     0       2       0.000
140     185     1.2     0       2       0.000
141     170     0       1       1       0.000
142     229     5.4     0       1       0.000
143     189     3.6     0       1       0.000
144     195     0.1     0       1       0.000
145     72      0       0       1       0.000
146     452     0       0       2       0.000
